,id,name,state,city,zip code,review count,rating,address,categories,latitude,longitude
0,_rrnWRKElleTqReJB_2OZg,Angry Tofu Korean Cuisine,CT,Wethersfield,06109,305.0,4.5,1030 Silas Deane Hwy,korean,41.693144,-72.65625
1,ny0v0vDvSu-fpEFkQkB-vw,Vecchitto's Italian Ice,CT,Middletown,06457,60.0,4.5,323 Dekoven Dr,icecream gelato shavedice,41.564167,-72.648944
2,DRXRlZay2m6Mt0GgHq02xg,Sno ‘N Dough,CT,Hartford,06106,11.0,5.0,1400 Park St,desserts restaurants,41.75876874822178,-72.7017798794022
3,wWGUp8TV1XoMgUGVkyTSfw,Vecchitto's Italian Ice,CT,Old Lyme,06371,9.0,5.0,80 Hartford Ave,shavedice italian gelato,41.2851365702948,-72.2776375097861
4,SNMigzSlhorNkmvlSYZ37w,Rita's Italian Ice,CT,New London,06320,17.0,4.0,361 Colman St,desserts icecream shavedice,41.3585560977856,-72.1157839894295
5,BDuWU1iDbky0rPHMwKcZxQ,Rita’s Italian Ice,CT,West Hartford,06110,29.0,4.0,1134 New Britain Ave,desserts shavedice icecream,41.7328531590055,-72.7326634110726
6,Drlm1HFtg8V1g3voM5fm2A,Rita's Italian Ice,CT,Southington,06489,19.0,4.0,279 Queen St,icecream desserts shavedice,41.62444,-72.87287
7,Bzog72H9Kk2cDqt-HM2ShQ,Pho Boston,CT,West Hartford,06110,480.0,4.0,144 Shield St,vietnamese chinese hotpot,41.72806,-72.721479
8,Hd3pBAHxnEkbjtC0bEXG9Q,Max's Oyster Bar,CT,West Hartford,06107,533.0,4.0,964 Farmington Ave,tradamerican seafood bars,41.761855,-72.7428457
9,8vzoo0lxC9Xr480GEHoP7w,Rita's Italian Ice,CT,Farmington,06032,21.0,4.0,358 Scott Swamp Rd,icecream desserts shavedice,41.7022171,-72.8882498
10,ckYxmo9CGrS5VcQVctiUVQ,The Assembly Room,CT,New Britain,06051,12.0,5.0,222 Main St,food_court,41.66704,-72.78283
11,4zKpDRiyqDgDEp7jv88bPw,Rita's Italian Ice,CT,Rocky Hill,06067,24.0,3.5,1783 Silas Deane Hwy,icecream desserts shavedice,41.67712,-72.65168
12,cqSbqOFNSxTsuzGBn6yvXQ,Han Restaurant,CT,Hartford,06106,176.0,4.0,310 Prospect Ave,hotpot szechuan seafood,41.75547,-72.71413
13,xZ7ywxTzcOZW5_r-E2mICA,RaonJena Coffee & Dessert,CT,Glastonbury,06033,117.0,4.5,39 New London Turnpike,coffee bakeries desserts,41.7174,-72.60817
0,ngQm_LCYjCntYP0ZrDJ2TQ,Elite Nutrition,CT,Centerbrook,06409,1.0,5.0,33 Main St,juicebars bubbletea,41.352076349815334,-72.4121755
1,40fB0dk8Ea2VTr-ojqSH9Q,Loose Leaf Boba - Wallingford,CT,Wallingford,06492,20.0,4.5,1094 N Colony St,bubbletea coffee,41.46309,-72.82045
2,mGf8jSOkzV7uTUXQiyRDtQ,Tea Break,CT,West Hartford,06107,183.0,4.5,994 Farmington Ave,bubbletea,41.7612342665073,-72.7455790485646
