,id,name,state,city,zip code,review count,rating,address,categories,latitude,longitude
0,86B5TkUi1Qg_9TjBdh45HQ,Frosty's Pop Shop,AZ,Prescott Valley,86314,8.0,5.0,8164 E State Rte 69,shavedice,34.586702,-112.323079
1,cgumqPeKMzs4XqAyY27WMg,Momo's Kitchen,AZ,Sedona,86336,199.0,5.0,301 N State Rte 89A,korean foodtrucks,34.87109090347417,-111.76045227275995
2,0T1-iPbml449ESH3BmdLpg,La Botana Loka,AZ,Prescott Valley,86314,14.0,4.5,8449 E Spouse Dr,mexican shavedice bubbletea,34.60945,-112.31656
3,E8MmErCrrlvRfFx4_7WFKQ,Aloha Hawaiian BBQ,AZ,Flagstaff,86001,292.0,3.5,16 E Rt 66,hawaiian,35.197591,-111.64834
4,kOg8NdeMdyUrCz2qFkBW1Q,Miguelito Dulceria & Raspados,AZ,Flagstaff,86001,3.0,1.5,1051 S Milton Rd,shavedice intlgrocery,35.190394,-111.661709
5,YeyaYfsxhwtuC4NH-pEnlA,Canyon Breeze Restaurant,AZ,Sedona,86336,239.0,2.5,300 N Hwy 89A,icecream pizza mexican,34.870649,-111.759696
6,0VuvZc7Y2bBh2AM1sI3kOA,Colt 804 Grill,AZ,Cottonwood,86326,610.0,4.5,804 N Main St,tradamerican bars bbq,34.74601,-112.02757
0,0bi7N_sZLm0f1kuBuehl0w,Sono Kitchen & Boba,AZ,Sedona,86336,116.0,4.0,285 Jordan Rd,bubbletea asianfusion juicebars,34.87,-111.76125
2,kjopejyakY8FSmQq498E6w,Sweet Day Tea and Coffee,AZ,Flagstaff,86001,31.0,3.0,1441 S Milton Rd,coffee bubbletea desserts,35.1863328768329,-111.662046723068
3,-S5wV2t43XnLQ958YAA5PA,Sauced Potstickers,AZ,Prescott Valley,86314,149.0,4.5,8617 E Florentine Rd,chinese bubbletea,34.586297647392186,-112.3147215423289
4,0fhoqLglAgQM_diDyEsIUg,The Boba Bliss,AZ,Prescott Valley,86314,3.0,3.5,7025 Florentine Rd,juicebars bubbletea,34.588534874278395,-112.34158938804275
5,aYbCZ0EIn_6HmpZ99opmUA,Chopstix Vietnamese Kitchen,AZ,Flagstaff,86001,169.0,4.0,601 E Piccadilly Dr,vietnamese bubbletea soup,35.191289,-111.643179
6,MS9i9Dv3FRQMZH13oXEERA,Kokiyo,AZ,Flagstaff,86001,196.0,4.5,116 S San Francisco St,korean japanese asianfusion,35.194774,-111.649037
7,SiOZJIne9fsGKHCg0q34mw,Thai Express,AZ,Prescott,86303,3.0,2.5,3250 Gateway Blvd,thai bubbletea,34.546965,-112.409145
2,k-a0e_umzascJHLcb7lLAg,Delgadillo's Snow Cap Drive-In,AZ,Seligman,86337,177.0,4.5,301 W Chino Ave,burgers icecream hotdog,35.3258331,-112.8729968
1,UaxBOZ5BgC9vWMs8UBOmwA,Mahalo Made,AZ,Phoenix,85014,32.0,4.5,1215 E Missouri Ave,shavedice,33.51621,-112.05543
2,WpzRURptZ2FIxBmJMl4MXA,KamanaWana Hawaiian Treats,AZ,Phoenix,85023,302.0,4.5,13825 N 19th Ave,juicebars shavedice acaibowls,33.6120371499425,-112.099178971094
4,5ViysgPio0TAs7LAa1nT_w,Tropical Sno,AZ,Phoenix,85032,53.0,4.5,16835 N 40th St,icecream desserts shavedice,33.6404014192334,-111.995933088426
5,JK0GkhqsHZJM1Ye_lQCcmg,Tropical Sno,AZ,Glendale,85304,47.0,4.5,6630 W Cactus Rd,desserts,33.596616058315,-112.200465952277
6,aJh31cYPJTMffdASkiMrdw,Happy Honu Shave Ice,AZ,Peoria,85373,23.0,4.5,,shavedice foodtrucks desserts,33.64418,-112.28016
7,ecf26TgLNn6ViNPGRtr4Uw,H2O and More,AZ,Surprise,85374,11.0,4.5,15508 W Bell Rd,shavedice waterstores,33.64027,-112.394645
8,wkmyYAEOLAXz3J66Fqu3Kw,Desert Snow,AZ,Peoria,85383,5.0,5.0,29799 N Lake Pleasant Pkwy,shavedice popcorn,33.7527333,-112.25333
9,aYyddTjTzPYHq17eS4hTzg,Bahama Buck's,AZ,Phoenix,85032,50.0,4.0,3121 E Greenway Rd,shavedice,33.62601,-112.01528
10,kL-ewcgP_Qbakdf1afIqIA,Sumo Snow,AZ,Surprise,85388,280.0,4.5,16487 W Bell Rd,bubbletea desserts juicebars,33.6386351,-112.4133177
11,hEB8FaS1EvWds03l7QGXyw,Neptunes Waters,AZ,Glendale,85310,26.0,5.0,23425 N 39th Dr,shavedice icecream waterstores,33.6991851807646,-112.141780257225
12,JIpVBlSdY9WgNZK1I17H2g,FlyBoyz Snowballz,AZ,Phoenix,85301,2.0,5.0,4832 N 59th Ave,shavedice,33.50883,-112.18672833
13,22sPntmWV-xqWdotZgSp8A,Glendale Water 'n Ice,AZ,Glendale,85304,20.0,4.5,13629 N 59th Ave,shavedice icecream waterstores,33.609221958817,-112.185121600525
14,JY9MHa3PdjIYp_D7E4GAIw,Wow Wow Hawaiian Lemonade,AZ,Scottsdale,85254,279.0,4.5,6501 E Greenway Pkwy,juicebars breakfast_brunch coffee,33.624605,-111.941474
15,5UCUIK-O6m7tSpi02B6F5g,Oasis Raspados,AZ,Phoenix,85032,30.0,4.0,3202 E Greenway Rd,shavedice icecream mexican,33.627641,-112.01161
16,LDOMdbQvEa8PL7TZCFExOQ,Dessert In Desert,AZ,Scottsdale,85255,228.0,5.0,18511 N Scottsdale Rd,desserts icecream shavedsnow,33.652297,-111.924765
17,HbzO-ZpnoR1hkOaygZPKYA,Rita's Italian Ice,AZ,Phoenix,85032,88.0,4.0,4727 E Bell Rd,shavedice icecream desserts,33.6382395728549,-111.978357133591
19,EsJ_iCNSHu_8N--XsK9Rjg,Raspados Solaris,AZ,Phoenix,85020,152.0,5.0,9204 N 7th St,desserts shavedice icecream,33.5700759,-112.0656616
20,loeW2G8tSIp1cLD3zB1NoQ,Urban Boba Tea House,AZ,Phoenix,85085,252.0,4.0,2470 W Happy Valley Rd,bubbletea coffee,33.7146952488641,-112.112520669301
21,47EzONubwoxiV29NGo-Mzw,Bubble Cups,AZ,Glendale,85308,172.0,4.0,6661 W Bell Rd,bubbletea juicebars coffee,33.6371731776542,-112.201407500003
22,lliQjBAUuy8RHoG7D6mBUg,Scooptopia,AZ,Phoenix,85012,182.0,5.0,4700 N Central Ave,icecream bubbletea shavedice,33.506043,-112.074506
23,Q3vsiXluRag8dOwPzDs_8g,Daisy's Cravings,AZ,Glendale,85302,7.0,4.0,4707 W Olive Ave,shavedice icecream juicebars,33.56700167,-112.160612
24,2lpJJZ9ooU1RvcW7COH6og,Cuties Lemonade & More,AZ,Phoenix,85053,7.0,4.0,4229 W Bell Rd,juicebars foodtrucks shavedice,33.6391451,-112.1499477
25,chygQNZlBucpYtL6gIC8-w,El Mix Raspados,AZ,El Mirage,85335,13.0,5.0,12550 W Thunderbird Rd,desserts mexican markets,33.60943,-112.32946
26,y48ZoyTeQW3_tMggyr5Axw,Tambayan at Joann’s,AZ,Phoenix,85013,56.0,5.0,720 W Highland Ave,filipino desserts bbq,33.506070419927376,-112.08373263618036
27,NEinRS0q-WZeSSVoTI7avQ,The Water Connection,AZ,Phoenix,85018,49.0,4.0,3929 E Camelback Rd,shavedice waterstores,33.509376,-111.996333
28,_HGz-BfLYJlShdz_eg3BOw,Windy City Dogs,AZ,El Mirage,85335,66.0,4.5,10100 N El Mirage Rd,hotdog hotdogs shavedice,33.57486543281815,-112.32559208452848
29,xhyzmAnZp2snpBklfcr3Sw,Sizzle Korean Barbeque,AZ,Phoenix,85050,636.0,4.0,21001 N Tatum Blvd,korean bbq asianfusion,33.6760477680625,-111.97204025298
30,KE3jpynolXq36VmhH6Zn7w,Rita's Italian Ice - Custard- Happiness,AZ,Glendale,85308,67.0,4.0,5940 C W Union Hills Dr,icecream desserts,33.654599,-112.188573
31,RuWcOn20A0bgySjr0HWZkA,V.Nam Pho,AZ,Surprise,85374,219.0,4.5,15332 W Bell Rd,vietnamese,33.6391289,-112.390736
32,P3M-rP6CBR0XEHiZee3RnQ,Alebrije Neveria,AZ,Phoenix,85021,33.0,4.5,10171 N 19th Ave,icecream shavedice desserts,33.57819,-112.09884
33,3YTcSTDdb-nb-Q2upkVOLA,Johnny  Dog,AZ,Phoenix,85041,2.0,3.0,Reach11 Sports Park,foodstands shavedice hotdog,33.6264251125816,-112.056868603314
34,iZMdwe0xebE3rF0x3LOr4w,Banh Mi Bistro Vietnamese Eatery,AZ,Phoenix,85023,590.0,4.5,2340 W Bell Rd,vietnamese noodles sandwiches,33.6406782416876,-112.110540077578
35,LW5f9ojFfRCqIYlqpyx1cA,Arrowhead Ranch Water & Ice,AZ,Glendale,85308,30.0,4.5,20280 N 59th Ave,shavedice waterstores,33.6703898748887,-112.188346758485
36,thLX_k20SPJ0KyusGTBIHw,Diego Pops,AZ,Scottsdale,85251,2079.0,4.0,4338 N Scottsdale Rd,mexican cocktailbars,33.499382019043,-111.926490783691
37,EpPOZAG0u7qHP-jv5HjFUg,Koi Poke,AZ,Scottsdale,85255,399.0,5.0,18221 N Pima Rd,poke hawaiian sushi,33.65186937706283,-111.88611490078465
