,id,name,state,city,zip code,review count,rating,address,categories,latitude,longitude
0,glkkUwWUYH5g92h3ztUkwg,Hokulia,GA,Savannah,31401,19.0,4.5,110 E Broughton St,shavedice juicebars icecream,32.0786996835,-81.090459
1,D4FJAd8DbcJZBH0PIEZcVg,Pelican's Snoballs,GA,Savannah,31406,15.0,5.0,609 E Montgomery Cross Rd,shavedice venues,31.9944182,-81.1079927
2,Sb-jvEaSrrqvhzc5ISqxwg,Sunset Slush Hilton Head,SC,Bluffton,29910,1.0,5.0,104 Buckwalter Parkway,desserts shavedice,32.284098,-80.912091
3,yTuz1MJ9YnfKqwCr-P6Iog,Sno Cones By Chris,SC,Hilton Head Island,29928,15.0,5.0,114 Helmsman Way,shavedice,32.1773853265674,-80.7721452104645
4,PVq2IeDRuTc_iNZIEBhBGQ,Below Zero - SouthSide,GA,Savannah,31406,39.0,4.0,318 Mall Blvd,icecream shavedice bubbletea,32.00477,-81.11217
5,aa6KskuL-swM8v7MgLp-AQ,Paradise Snow Cone and Fresh Squeezed Lemonade,GA,Tybee Island,31328,3.0,3.5,1509 Butler Ave,shavedice,31.9942254282224,-80.8483550537762
6,PpvDEYax7jxyE9-8siexEg,Rita's Italian Ice & Frozen Custard,SC,Hilton Head,29928,47.0,4.0,1 N Forest Beach Dr,icecream desserts shavedice,32.14317,-80.75012
7,Cd7VrlniJpXL_zvMxARrfQ,Jeremiah's Italian Ice,GA,Savannah,31406,12.0,5.0,7400 Abercorn St,desserts icecream shavedice,32.008573019938744,-81.11226109550994
8,FDt4he8zOqXIxVe5qXSzYw,Savannah Filipino Authentic Cuisine,GA,Savannah,31404,85.0,5.0,5515 Waters Ave,filipino,32.026741,-81.094017
9,GZpGLPYflGn1r2Y7CIyJdw,The Cotton Exchange Seafood Grill & Tavern,GA,Savannah,31401,1100.0,4.0,201 E River St,tradamerican southern bars,32.0808,-81.0884899
10,3U7WxJ-gb9C7Xn-Izqa0dg,Lighthouse Pizza,GA,Tybee Island,31328,180.0,2.5,15 Tybrisa St,pizza,31.99195,-80.84836
11,LPECAP8GrJUUeels5ktivQ,Saigon Bistro,GA,Savannah,31404,237.0,3.5,5700 Waters Ave,vietnamese asianfusion,32.02543,-81.09388
0,azIVxN6NNYUFlrqyzK5i2Q,Emmy's Bubble Tea Lounge,GA,Statesboro,30458,2.0,5.0,1100 Brampton Ave,bubbletea beverage_stores,32.41153536561317,-81.77131090000002
1,6h4nY6KLdhRhn0OExQxjRg,Okatie Nutrition,SC,Ridgeland,29936,1.0,5.0,149 Riverwalk Blvd,juicebars bubbletea coffee,32.32052,-80.93537
2,nO962yZU-6J4F03ctJThQQ,All Migh-Tea Boba Shop,GA,Pooler,31322,2.0,4.5,200 Tanger Outlets Blvd,bubbletea,32.13332664787444,-81.243953729526
3,N1TJdKE0qZPIFUTHuuiVSQ,Bowls & Bubbles,GA,Savannah,31401,17.0,5.0,206 W Broughton St,bubbletea poke,32.07973,-81.09434
4,6FrnJBc0eSmogrY_MQUv2A,King Tea,GA,Pooler,31322,6.0,5.0,201 Tanger Outlets Blvd,bubbletea,32.137080617130316,-81.24798690000581
5,-dxnHCeGDdNMSl-geIPXFg,Ice Bing Cafe - Savannah,GA,Savannah,31401,19.0,4.5,346 Martin Luther King Jr Blvd,bubbletea taiwanese,32.07433,-81.09925
6,anbIy5SSyDWHQXMGsHmabw,T-Swirl Crepe,GA,Pooler,31322,36.0,4.5,240 Tanger Outlets Blvd,desserts gluten_free creperies,32.133977,-81.246068
7,A3IrucnC1fesH5njRSikWg,Kung Fu Tea,GA,Savannah,31401,37.0,4.5,206 W Broughton St,bubbletea coffee juicebars,32.07973,-81.09434
8,QQXr5qEqXxC1WesHAqWnFA,Bubble Berry,SC,Hilton Head Island,29928,4.0,4.0,32 Office Park Rd,bubbletea juicebars,32.15381,-80.7655
9,mWPrhGXtdszzQy3v6GosSw,Shuga Girl,GA,Savannah,31401,77.0,4.0,36 Barnard St,coffee,32.0800577,-81.093872
11,QCum6NiU1zrJx2KHbbN7zw,Nood,SC,Hilton Head Island,29928,28.0,4.0,1 N Forest Beach Dr,asianfusion bubbletea ramen,32.14341424462865,-80.75012653561978
12,8yT6mNgbFj0gyQS8X4WMOw,Chatime,GA,Savannah,31406,14.0,3.5,7804 Abercorn St,bubbletea,32.002793,-81.117046
13,a9lEckS-TX-0NmljLBXi6A,Splendid Shabu,GA,Pooler,31322,273.0,4.5,9 Mill Creek Cir,hotpot asianfusion chinese,32.1391459,-81.246506
14,jBqHqYvvTS-f619O4EN85g,Umami Noodle Bar,GA,Pooler,31322,150.0,4.0,103 Park Ave,sushi noodles vietnamese,32.1350867,-81.2541237
15,C_fmPq5LCfTuAC6ggTD8DA,Fire Street Food,GA,Savannah,31401,484.0,4.0,13 E Perry St,newamerican sandwiches comfortfood,32.07514,-81.09267
16,KOiKwmSENJ5OmoJ2Csb6SQ,Adobo Filipino Restaurant,GA,Hinesville,31313,32.0,4.0,549 W Oglethorpe Hwy,filipino,31.8361416673301,-81.596167206436
17,GXpDSamD8sfXn2Y0M-g7Cg,Saigon Cafe,SC,Bluffton,29910,170.0,4.5,1304 Fording Island Rd,vietnamese,32.24475639526489,-80.82830561417623
18,85qFa5taGSYkguIpXbkEdg,Ruan Thai Cuisine,SC,Hilton Head Island,29926,235.0,4.0,811 William Hilton Pkwy,thai,32.17651,-80.72873
20,jStwOiBXQml3yckhIS4w7Q,Raw Ingredients,GA,Tybee Island,31328,206.0,4.5,18C Tybrisa St,sushi,31.9923895,-80.848792
