,id,name,state,city,zip code,review count,rating,address,categories,latitude,longitude
0,lK1nossCriWLRzCpa0gfAw,GB's Grille & Lounge,OK,Fairview,73737,3.0,3.5,902 N Main,shavedice burgers pizza,36.276802,-98.479869
0,hroyMhPHvFUc7wPXm5aHeA,Sweet Em’s Snowcones,OK,Owasso,74055,2.0,4.5,10950 E 116th St N,shavedice foodtrucks,36.321731,-95.853166
1,DZCwIEbtByF1KB_xrQYpwg,Tyson's Shaved Ice,OK,Collinsville,74021,1.0,5.0,706 W Main St,shavedice,36.364675478790055,-95.83310357064191
2,Ch9FqOjWuz6CIXFaNXLBWA,Simply Sweet,OK,Owasso,74055,1.0,5.0,12200 E 86th St,foodtrucks desserts shavedice,36.3012554,-95.8503574
3,liGlwKHIBaoMQCeGI0QZ8w,Flip’s Shaved Ice,OK,Owasso,74055,2.0,3.5,12350 E 86th St N,shavedice,36.278496,-95.834785
4,dKmi9rM98yYyuT97gw_1Ag,Tropical Sno,OK,Oologah,74053,1.0,5.0,202 W Cooweescoowe Ave W,shavedice,36.4473761,-95.709882
5,Pd9_vQ--YwPUVZGeISsdpA,Nani's Shaved Ice,OK,Claremore,74019,1.0,5.0,25985 OK-66,foodtrucks shavedice icecream,36.2359,-95.6861799
6,6noe-LIQlXgkdXRSI1VC2A,Sweet T's Burgers & More,OK,Pawhuska,74056,3.0,5.0,714 W Main St,burgers shavedice icecream,36.66421461059379,-96.34881596654354
0,XYlLMU0NSDOUn9EmAS1UGQ,Cha Bubble Tea,OK,Tulsa,74133,56.0,4.5,8246 E 71st St,bubbletea,36.06007,-95.884416
1,s_4AY3rfv3YynvfJgU2dIQ,Hey Boba,OK,Tulsa,74136,98.0,4.5,6942 S Lewis Ave,bubbletea asianfusion,36.0625802,-95.9580049
2,KRJUyMor7EDZXLxuOOKXUw,Kung Fu Tea,OK,Tulsa,74135,19.0,4.5,5956 S Yale Ave,bubbletea coffee juicebars,36.0773298867737,-95.9227427500524
3,rUTXtBFl72QCwoZG2P-hGw,Ding Tea Tulsa,OK,Tulsa,74133,38.0,4.0,11007 E 71st St,bubbletea sandwiches,36.0621731738,-95.853121103
4,lr6YX57v_-ZojzF2cWSCUw,Judes Health & Java House,OK,Bartlesville,74006,49.0,4.0,2503 SE Washington Blvd,healthmarkets coffee sandwiches,36.7134799,-95.93527
5,O4RCcZm-rLSSE3e6Uq3CfQ,Boss Tea,OK,Tulsa,74133,40.0,4.0,8222 E 103rd St,bubbletea,36.01306,-95.88464
6,2yr25VWssDJ4spVgjXF6GA,Lacaboba,OK,Owasso,74055,1.0,5.0,12500 East 86th St N,bubbletea coffee,36.27808,-95.8339
7,YM0ythVPKAGI_s965q_3rw,Viet Hot Bread,OK,Tulsa,74134,72.0,5.0,3151 S 129th E Ave,vietnamese bubbletea sandwiches,36.11788,-95.83228
8,2gYHlxliaTep4lU4NZlg6Q,Roppongi,OK,Tulsa,74119,126.0,3.5,601 S Boston Ave,ramen bubbletea,36.150848435701,-95.9881294038383
9,HN6NhlyDDC2Pe75h0l6skg,Gung Ho,OK,Tulsa,74132,19.0,4.0,7547B Olympia Ave,bubbletea poke ramen,36.0543804,-96.00358039999999
10,tg_qS78HiD1_tRhsn3p-lg,Gogi Gui Korean Grill,OK,Tulsa,74135,130.0,4.0,6380 E 31st St,korean asianfusion thai,36.1188450365324,-95.9057200287801
