,id,name,state,city,zip code,review count,rating,address,categories,latitude,longitude
0,7LFUWnVnqXvHOczNrwdmmQ,Pure Aloha Shave Ice,CA,Ukiah,95482,1.0,5.0,,shavedice catering,39.1501709,-123.2077831
1,W_sOyDeNhhY27T_OMd11Mw,BubbleCups,CA,Santa Rosa,95403,78.0,4.5,1940 Piner Rd,shavedice coffee asianfusion,38.46685,-122.74909
2,Hxatrp844NQ7oq1F2YPABw,The Mondo Truck,CA,Russian River,95462,5.0,5.0,,foodtrucks shavedice,38.5440819553434,-122.933287822961
3,4mjW4NYt5Zsdc1JYHXe-Ig,Kona Ice - Santa Rosa,CA,Santa Rosa,95404,4.0,5.0,,foodtrucks shavedice,38.45180892944336,-122.69298553466797
4,pw9iRgU9z9B3PzhRF_oXew,Daytrippers,CA,Monte Rio,95462,2.0,5.0,20488 Hwy 116,shavedice,38.4663740149809,-123.009727850229
5,lvllhFtjEOo8eqVqd3T_LQ,Susy's Ice Cream,CA,Healdsburg,95448,2.0,4.0,127 Healdsburg Ave,shavedice icecream desserts,38.605848,-122.869136
6,4EZhT_rZuTdbfgN-1k2AKg,Mango's,CA,Windsor,95492,44.0,4.5,8499 Old Redwood Hwy,juicebars,38.5435,-122.80205
7,W57lmT1XYZMGUcT7JAhSoA,Corner Park Cafe,CA,Santa Rosa,95405,147.0,4.0,4275 Montgomery Dr,vietnamese donuts coffee,38.45619,-122.67215
8,g3MujtwGKTEDu1fcu9eV1g,Yogurt Farms,CA,Santa Rosa,95401,173.0,4.5,1224 Mendocino Ave,icecream desserts juicebars,38.4518701,-122.7173245
9,24Tobe4H641KHELuHOqalg,Chokolatte,CA,Saint Helena,94574,27.0,4.5,1336 Oak Ave,coffee juicebars gelato,38.50437,-122.47031
10,YkfgsEQODvfLPXj3QINRQw,Cafe Bagel Croissant,CA,Santa Rosa,95407,79.0,3.0,925 Corporate Center Pkwy,sandwiches breakfast_brunch vietnamese,38.425319,-122.753762
11,VfGnMo86Cp3mTgGgOac30g,Tan's Donuts,CA,Santa Rosa,95403,50.0,4.5,2550 Guerneville Rd,donuts vietnamese,38.4520404275629,-122.771504470958
12,T20VEwi7AzKbY2TuVEt_ig,The French Laundry,CA,Yountville,94599,2766.0,4.5,6640 Washington St,french,38.40442,-122.36476
13,R0WuSV_5BSnDhIe8perZpw,Toppings Frozen Yogurt and Smoothie Bar,CA,Santa Rosa,95405,2.0,5.0,1533 Farmers Ln,icecream shavedice juicebars,38.4334196,-122.6888877
14,aNZt_e-CgztZ-t2a4MAVaA,La Calenda,CA,Yountville,94599,331.0,3.5,6518 Washington St,mexican,38.40216,-122.3612
15,Afed6Mayiia8QoiP9cAIUw,SingleThread Farm - Restaurant- Inn,CA,Healdsburg,95448,293.0,4.5,131 North St,newamerican bedbreakfast,38.6124,-122.8699
1,IKKbVj6J8nZ0UMO1X9aC6Q,Happy Donuts,CA,Willits,95490,5.0,4.0,1661 S Main St,bubbletea donuts coffee,39.3913630368884,-123.346792571247
2,o73t2VO3FZeK6n8JoyygWw,Sharetea,CA,Santa Rosa,95403,15.0,3.5,3381 Cleveland Ave,bubbletea coffee juicebars,38.47415,-122.73258
3,JTMIkRaWcbxbwWcngv9ajA,The Taste of Tea,CA,Healdsburg,95448,168.0,4.5,109 North St,coffee ramen noodles,38.6121049,-122.8707307
4,sjWk-Os6AVehgyOrOV8l2Q,Sunny's BoBa & More,CA,Santa Rosa,95401,200.0,4.0,519 4th St,coffee bubbletea cafes,38.4400980681975,-122.714795142615
5,Ug3USfA083a4-bebPeKYkg,T4 and Poke,CA,Santa Rosa,95403,267.0,4.0,2280 Mendocino Ave,poke bubbletea hawaiian,38.4621594621954,-122.717028002823
7,HMVjrzabgXhhTw5CiSOWbw,Quickly,CA,Santa Rosa,95401,127.0,3.0,1880 Mendocino Ave,bubbletea gelato sandwiches,38.45832,-122.7168
8,u_APdYtpPLnEbcTmgKAxxg,Hang Ah Dim Sum,CA,Santa Rosa,95401,508.0,4.0,2130 Armory Dr,dimsum,38.45903,-122.72533
9,B_oV1Kk5nKJtYCLcF4HVQg,Simply Vietnam Express,CA,Santa Rosa,95403,379.0,3.5,3381 Cleveland Ave,vietnamese noodles,38.47415,-122.73258
10,ReeNmE-B_EUCUaEkAZhaQA,Golden Bun,CA,Santa Rosa,95401,133.0,4.0,490 Mendocino Ave,vietnamese sandwiches desserts,38.44237,-122.7149
11,47R9IzI8H8gsOEXsa4UsTw,Aloh-o,CA,Santa Rosa,95407,57.0,3.5,2032 Santa Rosa Ave,poke sushi,38.418379,-122.71235
12,GhCQjqq-VGW1_gJ2Q4ksuQ,Surf City Squeeze,CA,Santa Rosa,95401,31.0,2.5,250 Santa Rosa Plz,juicebars,38.4397344413677,-122.717709400944
1,CGmiASJe-6PmRRo8Mp4nMg,Daily Grind,CA,Myers Flat,95554,52.0,3.0,12900 Avenue Of The Giants,coffee shavedice juicebars,40.2665267139673,-123.872705027461
2,UUBLc2X6cPooM7fVHtudKg,Pineapple Express Hawaiian Food Truck,CA,Garberville,95542,21.0,4.5,744 Redwood Dr,hawaiian foodtrucks japanese,40.1013,-123.79526
0,nI7LPiM6V1h_zMruljNHzg,Mendolasa Cafe,CA,Fort Bragg,95437,15.0,2.0,332 N Main St,coffee bubbletea juicebars,39.444942,-123.805750376566
0,wcnm58RWvFd9tQVBknbrTA,Hokulia Shave Ice - Vacaville,CA,Vacaville,95688,78.0,4.5,155 Browns Valley Pkwy,shavedice,38.36613,-121.96719
4,gLgz3SLF7OCJ8KgdD9ysJA,Woodland Sno Shack,CA,Woodland,95695,34.0,5.0,1320 E Main St,shavedice donuts icecream,38.677118,-121.760995
5,7VQK5AgOvY5IkySVZe0-rQ,Sweet and Shavery,CA,Davis,95616,372.0,4.5,210 E St,desserts shavedice icecream,38.5435066,-121.7411137
6,b70F6EQdv-PrtNJ9HO57Hw,MandRo Teahouse,CA,Davis,95616,507.0,4.0,1260 Lake Blvd,bubbletea desserts shavedsnow,38.5541889,-121.7869827
7,fpoxbT7zMPs3YvDXS_NFrA,Pure Water Store,CA,Woodland,95695,15.0,4.5,375 W Main St,shavedice waterstores icecream,38.6761433760751,-121.801754182587
8,N0LpqGWaNSyJf_5v8k-ZqA,Fresh Fruit Snow Cones,CA,Woodland,95776,1.0,5.0,725-901 E St,shavedice,38.66818,-121.764824
10,uqEOFrfO3us6IKI6Njrq7A,The Kona Ice Shop,CA,Winters,95694,8.0,3.5,11 Main St,desserts shavedice icecream,38.522065324442366,-121.96926397337302
12,c7bPDkzmfafinwMngRt3mg,Wicked Slush Petaluma,CA,Petaluma,94952,119.0,4.5,122B American Aly,icecream shavedice,38.2344153,-122.6408028
13,f9a12ehbvzfrxWrZc7R3Ug,Las Palmas Express,CA,Napa,94559,7.0,5.0,1740 Yajome St,desserts shavedice icecream,38.3055037,-122.2881342
14,zy3-XBd8zvnJl7ud32qqFA,Sawyer's Sweet Spot,CA,Woodland,95695,25.0,4.5,528 Main St,candy shavedice icecream,38.67718,-121.77366
15,zVZPm3PPwKwrt5O9i9bkPA,La Colorina,CA,Vacaville,95687,96.0,4.5,1100 Marshall Rd,shavedice juicebars mexican,38.34671,-121.97393
