,id,name,state,city,zip code,review count,rating,address,categories,latitude,longitude
0,fFed4hjuoqFywMZiq_pCcg,Coal Train Coffee Depot,WY,Rock Springs,82901,38.0,5.0,501 S Main St,coffee shavedice sandwiches,41.5870114367634,-109.219384448625
0,S7Kp66vKTNzrCPJFwk6-kw,Buckin' Coffee,WY,Rock Springs,82901,56.0,4.0,1535 Elk St,coffee desserts comfortfood,41.6047480813282,-109.229849763215
0,4eVKRZK5J9M1Pc-LblpErA,Koi Sushi & Poke,WY,Jackson,83001,20.0,4.5,36 E Broadway Ave,sushi poke,43.4793,-110.76179
1,fGiJuIlAjH3UhfAyQnseKg,Bapp,WY,Jackson,83001,106.0,4.5,340 W Broadway,korean bubbletea noodles,43.4792279253781,-110.767055902719
0,1WePF1uE7ZLncjFhhDQz8w,The Shack,UT,Kamas,84036,5.0,4.5,5 East Center St,desserts gourmet beverage_stores,40.6432849,-111.2805266
0,254_55CTVTH7Nk2JeR2e2g,Beachin' Soda Shack,UT,Vernal,84078,7.0,4.5,640 W Main St,shavedice juicebars,40.456158,-109.540291
1,enIGFfI-3XgSKPUp1Tl3NA,Shivers And Jitters,UT,Vernal,84078,7.0,4.5,88 S 500th W,coffee shavedice juicebars,40.454552,-109.53913
2,JlU8T4BIY-NIEyGD1mHAZw,Snow Biz,UT,Vernal,84078,1.0,5.0,332 W Main St,juicebars shavedice icecream,40.45584469528689,-109.5355986
0,bBjh_trM9mCL-rBiWtIrEg,Crissy's Chicken To Go,ID,St. Anthony,83445,12.0,4.0,201 N Bridge St,tradamerican seafood steak,43.968499,-111.682898
0,dGCcwYF6T4Zjo4GJSQmTCw,Hawaii Hua,ID,Pocatello,83201,4.0,3.0,200 S Main St,shavedice,42.86135,-112.44923
1,TU33fZwdSIuPlqkWlomIUw,Tiki Hut Hawaiian Shave Ice,ID,Idaho Falls,83404,1.0,5.0,2770 S 25th E,shavedice,43.472681459863864,-111.98525472943417
0,20xSswzpy1qCJHWVh3ev3g,Java Espress,ID,Pocatello,83201,5.0,2.5,657 Yellowstone Ave,coffeeroasteries juicebars bubbletea,42.887245,-112.453078
1,4RmlPDiwzo3BxRiyFDAUEA,Hokkaido Ramen & Sushi bar,ID,Pocatello,83201,18.0,4.0,231 W Quinn Rd,ramen sushi bubbletea,42.904264,-112.45263
2,P2KRmMxLHSkIAkeyweJfTw,The Caboose,ID,Idaho Falls,83402,5.0,4.5,471 River Pkwy,shavedice,43.4961166,-112.0448685
2,tu98QYk4PxwlnMHCkaYS3Q,Betty’s Boba,ID,Idaho Falls,83401,3.0,3.5,680 1st St,gourmet waffles bubbletea,43.49635363330149,-112.01992556669794
3,zXi-Jl1JaDpSA96bAK1o2g,Hot Spring Pho,ID,Idaho Falls,83402,61.0,4.5,376 Shoup Ave,vietnamese,43.4917345913358,-112.039734526581
0,kl30Ki5_7ouRBXH3F9rcpg,Lost River Valley Coffee,ID,Arco,83213,5.0,5.0,242 S Front St,coffee,43.6348884789049,-113.298452414932
3,mxYx1VKPelnq7pDrbcHDyQ,Karie Anne's Frozen Desserts,ID,Rexburg,83440,32.0,5.0,32 S 2nd E,desserts,43.8253516,-111.7780595
4,Cq82IyLatI_c0MzGH7TUQQ,Snoasis,ID,Rexburg,83440,3.0,3.5,24 W Main St,shavedice,43.8260733,-111.7845914
1,QpLIMfYliXD0ertrFCvs0w,Crush,ID,Rexburg,83440,3.0,5.0,155 West Main St,juicebars bubbletea cupcakes,43.82539,-111.78844
