,id,name,state,city,zip code,review count,rating,address,categories,latitude,longitude
0,0LPVkxZ-Ab9Jx6_ytA-Yew,Tea Fusion Cafe,NC,Charlotte,28262,259,4.5,440 E McCollough Dr,desserts bubbletea cafes,35.302044270224435,-80.74780497055222
1,NYoeweXzDBHt7zocBKQz4Q,Central Tea House,NC,Charlotte,28205,55,4.0,3000 Central Ave,bubbletea vietnamese coffee,35.2173619192282,-80.794318
2,Ta90zFGKnzjZHQooIp17Tw,Philly's Italian Water Ice,NC,Charlotte,28202,3,3.5,,foodtrucks shavedice catering,35.2276077270508,-80.8437576293945
3,S9YurL0myEzZqWBgKo3avA,Pelican’s Snoballs Of Uptown Clt,NC,Charlotte,28206,6,3.5,1200 N Davidson St,desserts shavedice,35.2320861878,-80.8244556
4,VbmX9WA1gGA5hJS-5EdwNw,Pelican's Snoballs,NC,Charlotte,28269,8,4.0,5657-5699 Statesville Rd,desserts shavedice,35.2968125463441,-80.8398956054384
5,jbvSPlg86HpGm3dogYX8ZA,STIR Charlotte,NC,Charlotte,28203,365,4.0,1422 S Tryon St,newamerican cocktailbars seafood,35.21712,-80.85567
6,QvxBnMcBPP1z_NAIYCqqdA,Haberdish,NC,Charlotte,28205,1286,4.5,3106 N Davidson St,southern cocktailbars,35.246509552002,-80.8061065673828
7,XzyCN2b5g8s-fFa4rqGJhA,Snowcone Xplosions,NC,Charlotte,28216,5,4.0,1832 Oakdale Rd,shavedice,35.300925126841,-80.8957216143608
8,ACF07iqv2zZtmeFlWYvRzg,PARA,NC,Charlotte,28203,35,4.0,235 W Tremont Ave,bars newamerican tapasmallplates,35.21048684647586,-80.86335099325333
0,dCHNk6OqM-bYH9JHRZxwvg,Sharetea,NC,Charlotte,28204,124,4.5,1204 Central Ave,bubbletea coffee juicebars,35.2209507844832,-80.8181382861083
1,sJIc--YvDcnbco6OCgFwOg,Boba Baba,NC,Charlotte,28203,40,4.5,1425 Winnifred St,bubbletea,35.21784,-80.85641
2,lOQcBPnzwxq-sNdqbqgBnA,Gong Cha,NC,Charlotte,28204,61,4.0,601 S Kings Dr,bubbletea,35.209848,-80.8356164
3,ZvG9JCnPQDPf-Exe0ohLdw,Tea Fusion Uptown,NC,Charlotte,28202,8,4.5,120 Brevard Ct,bubbletea coffee juicebars,35.22571,-80.8464
4,3sI-wUJMPThK0dWn-2_9TQ,Boba Koala,NC,Charlotte,28202,3,4.5,901 W Trade St,bubbletea coffee juicebars,35.23383,-80.85199
5,DixTeVE6AQ0TmnteWNRX8g,Milk Cha-Cha,NC,Charlotte,28210,141,4.5,4620 Piedmont Row Dr,bubbletea coffee juicebars,35.153202248251034,-80.83994881166535
6,OubKxyIjSKcPfqUzOv9opA,Ocha Time Tea & Creamery,NC,Charlotte,28205,69,4.0,2001 Commonwealth Ave,bubbletea coffee icecream,35.219052,-80.811845
8,oJAnJOYBD1KA__AR_zIMrA,Kung Fu Tea,NC,Charlotte,28209,20,5.0,4200 South Blvd,coffee icecream bubbletea,35.18629,-80.87618
9,j2Qh8_Xy5rytclGpId-bHg,Waterbean Coffee,NC,Charlotte,28202,52,4.5,616 N Tryon St,coffee sandwiches,35.23107,-80.83665
11,d-tRIOxL1nFGn_7D1MF8ZA,Around the World Cafe,NC,Charlotte,28209,67,4.5,5110 Park Rd,icecream bubbletea desserts,35.16073,-80.84985
12,mC39IrCp36QIVFRZIw9PTQ,Seoul Food Meat Company,NC,Charlotte,28203,1410,4.0,1400 S Church St,korean bbq beerbar,35.2192611694336,-80.8578567504883
13,zpGCFAt_MydbQN4EsXee6w,Banh Mi Brothers,NC,Charlotte,28262,405,4.5,230 E Wt Harris Blvd,vietnamese bubbletea juicebars,35.303505,-80.748868
14,Jo6EcTFYMMFbbdmkSPG5ug,Fuji Hibachi & Teriyaki Grill,NC,Charlotte,28202,74,3.0,210 E Trade St,japanese bubbletea,35.22532,-80.842489
