,id,name,state,city,zip code,review count,rating,address,categories,latitude,longitude
0,Q2awygbK02JTJgOekgDyGQ,Aloha Grill,MI,Lower Level Marquette,49855,8.0,4.5,130 W Washington St,comfortfood hawaiian foodstands,46.5437813376215,-87.39398575959949
0,JPu_XmYC7fYP7hLuyAW67A,Blossom Bird Bubble Tea,MI,Marquette,49855,2.0,4.5,128 N 3rd St,bubbletea bakeries,46.544223,-87.3949586
1,KPI9stG4_PQVx7fd8V79EA,Thai House,MI,Marquette,49855,84.0,4.0,1031 N 3rd St,thai,46.553405,-87.395066
2,_Oz7AcjWy1D7Mln8kIjSgA,Teriyaki Bowl,MI,Marquette,49855,35.0,4.0,3109 US Hwy 41 W,soup noodles bubbletea,46.548897,-87.456341
0,Ik7VGcvuJpvd0vn9OrBg8A,Jameson's Whiskey Darlin’,WI,Crandon,54520,1.0,4.0,306 N Lake Ave,bubbletea cafes coffee,45.57176,-88.90304
0,Dg0lMGTLnkwrXLtXGLMnlQ,The Beach Club,WI,La Pointe,54850,55.0,3.5,817 Main St,tradamerican,46.7793002099163,-90.7880759239197
0,QxlP6IH43TusMlQXpayv5g,Hal and Harry's Hawaiian Ice,IA,Adel,50003,1.0,5.0,479 Nile Kinnick Dr S,shavedice icecream,41.6137111186981,-94.0174569189548
1,lbOF5ZrTMJkAz8xNgDQM3Q,Ashworth Snow,IA,West Des Moines,50266,8.0,5.0,5300 Ashworth Rd,shavedice,41.5843364624047,-93.7789405885874
2,GQIgPAt5ePfj9xUCyUMXFg,Rita's Italian Ice,IA,West Des Moines,50266,18.0,3.5,9250 University Ave,desserts shavedice icecream,41.60045,-93.82146
3,enMxNtKOnhkSl-eAaI_dDw,Tropical Sno - Ankeny,IA,Ankeny,50023,1.0,5.0,801 S Ankeny Blvd,shavedice,41.72283,-93.59955
4,CtDpywJ50PtKfeEMCjsa8A,Tropical Sno,IA,Johnston,50131,1.0,2.0,8805 Chambery Blvd,shavedice,41.66062445850065,-93.73797210026665
5,GZUvKx4iwAd7pmfxKKV8Tw,Alohana Hawaiian Grill,IA,Ankeny,50021,159.0,4.0,802 SE Oralabor Rd,hawaiian tradamerican,41.70356,-93.58522
6,MEnNDtxN1vWZOxDAmdkBtg,Lola's Fine Kitchen,IA,Ankeny,50023,99.0,4.5,1615 SW Main St,filipino pakistani,41.712911,-93.617329
7,MjhHBLEeH7PJKKjjL5t-xg,Ocha Bubble Tea And Dessert Cafe,IA,Windsor Heights,50324,29.0,4.5,7216 University Ave,bubbletea desserts shavedice,41.599866,-93.716837
1,aUXlUTcbLAuyy7y9IN0siQ,Eden Tea,IA,Des Moines,50322,11.0,4.5,5828 Douglas Ave,bubbletea coffee,41.628945,-93.698737
2,XdkSZXlye_mrtRxJezNogQ,8 Degrees Ice Cream & Boba,IA,Des Moines,50311,41.0,4.0,1315 31st St,icecream bubbletea,41.60234260507082,-93.65918137812751
3,g_HBu93YinWfCGuSLyOXcQ,Bubble Tea Kups,IA,Des Moines,50311,5.0,3.5,1139 24th St,bubbletea juicebars desserts,41.599223,-93.64928
4,aXQMOto2L3LbkTdevO3dnA,Totally Tea,IA,Des Moines,50266,3.0,1.0,101 Jordan creek pkwy,bubbletea coffee,41.5699285,-93.8041654
5,68DZx2x1q1kBfTXemFK9Mw,Pho All Seasons,IA,Des Moines,50316,155.0,4.5,1311 E Euclid Ave,vietnamese bubbletea,41.6275751,-93.6028166
6,7wZMzXzrMpVNuSZPQ-Cprg,The Eggroll Ladies,IA,Des Moines,50311,4.0,5.0,1139 24th St,chinese asianfusion vietnamese,41.59924,-93.64928
7,5ZLLnTbVUAL5LKGqWkvVcw,Cool Basil,IA,Clive,50325,290.0,4.0,1250 86th St,thai sushi chinese,41.60121980925068,-93.73697478817881
8,UHPr-kYmbG8rfkn319mcdw,JuiceBox,IA,West Des Moines,50266,1.0,1.0,101 Jordan Creek Pkwy,juicebars,41.586075,-93.808078
9,75zt-YP_NEux9KpH4rts6Q,C Fresh Market,IA,Des Moines,50314,70.0,4.5,801 University Ave,vietnamese grocery meats,41.6011566981563,-93.6277889460325
10,6aGmCQSlX2L5sfE1-B3kXw,Pho 888,IA,Des Moines,50314,93.0,4.0,1512 2nd Ave,vietnamese,41.606584,-93.619304
11,YoqCSznD7If-Ui4NVV7Q9g,De Rice,IA,Johnston,50131,42.0,4.0,8430 Birchwood Ct,thai chinese sushi,41.6542,-93.73441
12,k4kHgMBUmTjOWdr4fNsE3g,Vietnam Cafe,IA,Des Moines,50310,76.0,4.5,3800 Merle Hay Rd,vietnamese,41.6321818143638,-93.7034024199905
13,gwAaNRxQ5BQyfNOfPbo5WA,Fawn's Asian Cuisine,IA,Des Moines,50316,61.0,4.0,1107 E University Ave,chinese asianfusion,41.60007,-93.60546
14,cAP2zdY8SbPvpcc81W1S_g,All Phở You,IA,Des Moines,50311,26.0,4.5,4120 University Ave,vietnamese,41.599586,-93.673898
15,QKEv7b0rIPIJOQ9uwRAAQA,Pho Real Kitchen & Bar,IA,Des Moines,50309,74.0,4.0,200 4th St,asianfusion vietnamese bubbletea,41.585163,-93.621827
16,0NWAuhxUfQoajRCqOO8d4A,A Dong Restaurant,IA,Des Moines,50309,292.0,4.0,1511 High St,vegetarian vietnamese,41.587411,-93.637465
17,_VVGw_Rf5WF8M2N7MstBhg,TNT Vietnamese Restaurant,IA,Des Moines,50310,36.0,4.5,3452 Martin Luther King Pkwy,vietnamese,41.6265591,-93.6513473
18,pgl7fSM3q8642sGkdSiY4w,Rolling Wok,IA,Des Moines,50309,94.0,4.5,1534 E Grand Ave,chinese vietnamese thai,41.594577,-93.59378
19,JR2VUOHeq5eLiuMR-n6b_A,JJ Jasmine,IA,Des Moines,50309,19.0,3.5,400 Walnut St,thai,41.586039,-93.622417
20,qdkq4ZE1kcC8NMmxC3-GUg,Aroy-Dee,IA,Des Moines,50315,64.0,4.5,2128 Indianola Ave,vietnamese thai chinese,41.56775,-93.61258
21,iO6Pv5dSMHLqIM9MTN_XsA,Pho 515,IA,Des Moines,50314,83.0,4.0,801 University Ave,vietnamese,41.60102,-93.62795
13,Ve6dYS2pITED106tlb6TCg,Chopstix - Vietnamese Street Food & Cafe,IA,Grimes,50111,3.0,3.5,270 W 1st St,vietnamese bubbletea,41.68786322666591,-93.7970361
0,ONTQI-8093KyurkmjyXNfQ,PearlTea,IA,Cedar Falls,50613,6.0,5.0,5725 University Ave,bubbletea coffee juicebars,42.5111937068277,-92.4266689904649
1,4BQxN-ppxBWyRG2zYlMwtg,1+1 Restaurant & Tea,IA,Ames,50014,17.0,4.5,2814 West St,chinese bubbletea,42.02504,-93.6564099
2,beWPrqxjMwGiOEiJBOY85A,Tea Time,IA,Ames,50014,15.0,4.5,107 Welch Ave,bubbletea coffee,42.0224557,-93.6502649
3,WUyYny6X6FNwobzEtEyyCQ,Pho & Tea,IA,Ames,50010,15.0,4.0,724 24th St,vietnamese bubbletea asianfusion,42.0460844513,-93.6216092393
5,s-fds2_-Z76PIK2Hd7VnZQ,Jack's Pho' House,IA,Marshalltown,50158,15.0,4.0,802 S 3rd Ave,vietnamese laotian thai,42.03916,-92.90755145251751
8,Uz7v7me1GQsp1QBEldETxg,Thai Kitchen,IA,Ames,50014,104.0,4.0,2410 Chamberlain St,thai bubbletea,42.0212585970573,-93.6490924260228
10,8tkXXTrgPHTj0rDB-HBMDw,Pho 85 - Ankeny,IA,Ankeny,50021,81.0,4.0,1701 SE Delaware Ave,vietnamese,41.7122,-93.57864
11,S77B2bTMyC8HZmHOJQjLnA,Wok N Roll,IA,Ames,50014,29.0,3.0,120 Welch Ave,chinese seafood soup,42.02196,-93.64992
12,gfDxvnmEtVX0Y-8VD-cyIw,Szechuan House,IA,Ames,50014,81.0,3.5,3605 Lincoln Way,szechuan,42.0230669395446,-93.6672321606748
16,hXXwieQbWD7KGjW1vXggWA,Le's  Restaurant,IA,Ames,50014,65.0,3.0,113 Colorado Ave,vietnamese chinese soup,42.02352981634065,-93.6635754075803
3,71H95i6hjGlCLOJKw7debw,Gaga & Hoo Korean Restaurant,IA,Fort Dodge,50501,24.0,4.5,368 Country Club Dr,korean bubbletea steak,42.5047556004796,-94.2043410729122
0,sgtJS-7VBRxHPPmXtDPbVQ,Lolo Snow,IA,Lamoni,50140,1.0,5.0,108 S Chestnut St,foodtrucks shavedice desserts,40.623372,-93.934787
0,hkZOB8WFL3PDdrcbz7lRHw,InspireU All Things Good,IA,Albia,52531,1.0,1.0,114 S Main St,coffee bubbletea juicebars,41.02562,-92.80696
0,5sVbNq0V0jQQQGPnOM7xtA,Hub Coffee,IA,Ottumwa,52501,9.0,5.0,133 2nd St W,coffee bubbletea,41.0195401578694,-92.4128786295101
1,UJo1BzL61AAfse6X4e8Dqw,Hi Tea,IA,Cedar Rapids,52402,10.0,4.5,5472 Blairs Forest Way NE,bubbletea coffee desserts,42.033118,-91.6785
3,vkC9uwLvVQ05oYWRKIE_6w,Pho Mai Restaurant,IA,Cedar Rapids,52404,108.0,4.0,2315 Edgewood Rd SW,vietnamese,41.95555,-91.71504
4,-tyy3knugCLNGmJ3TU3lYQ,Pinoy Cafe,IA,Cedar Rapids,52401,3.0,2.5,1100 3rd St SE,filipino foodstands bubbletea,41.9712781381993,-91.65764154255699
6,nJfpZE6V1xE-ovpOe0biGg,Orange Leaf Frozen Yogurt,IA,Cedar Rapids,52402,11.0,3.5,4866 1st Ave NE,desserts icecream diyfood,42.0266865,-91.619847
7,DensY6Kenq6u8ZhHVbgeYA,NaRa Thai Cuisine,IA,Marion,52302,84.0,4.5,1725 Blairs Ferry Rd,thai panasian asianfusion,42.03294,-91.63054
0,HxyGYLiuE-p-7fyz8hsslg,Sno Biz of Iowa City REAL Shave Ice Made Right,IA,Iowa City,52245,4.0,4.5,812 S 1st Ave,shavedice foodstands,41.6514053344727,-91.5008926391602
0,LwArK88jtowNBgMeQIP7FA,Teamo Tea,IA,Iowa City,52240,31.0,4.5,121 E Washington St,bubbletea,41.65975,-91.53366
1,JeAiW5wYoMdoBRu-_bAHnw,Bubble Pop,IA,Iowa City,52240,13.0,4.0,201 S Clinton St,bubbletea,41.659268015631,-91.5353561
4,pZO_Q4JTXQJ-vQg5ds1Sww,La Tea,IA,Iowa City,52240,10.0,3.5,123 E Washington St,bubbletea accessories,41.659751,-91.533593
5,m38prG2YSVZSyg1xJIxsxA,LA Wine Bar & Restaurant,IA,Iowa City,52240,9.0,4.5,180 E Burlington St,korean bubbletea karaoke,41.65802,-91.53356
9,ZQclX6V0cBcL36cu7w8nkA,No.18 Karaoke & Bubble tea,IA,Iowa City,52240,2.0,2.5,223 S Gilbert St,bubbletea karaoke,41.6587057,-91.5302166
10,1OLMnGatzpKU2qJvTGgFIg,Soseki Café,IA,Iowa City,52240,78.0,4.5,227 S Dubuque St,sushi japanese coffee,41.6582939651956,-91.5332741508928
13,1fiUMU90Y1Ag3SiKfmRIJg,Uncle Sun,IA,Iowa City,52240,55.0,2.5,100 S Linn St,chinese,41.6600911001859,-91.5315966666615
14,gplthUOqt28Qar-YQSpI2A,Szechuan House,IA,Iowa City,52240,117.0,3.5,320 E Burlington St,szechuan,41.6581611633301,-91.5307235717773
0,ndpfZy6fGB9BcEOQnym5IA,1910 Fresh Mexican Kitchen,MN,Austin,55912,41.0,5.0,507 1st St NW,mexican,43.6701157,-92.9762042
0,Oq9fbffSimDnpO3JyiSYvQ,Wabi Sabi,MN,Rochester,55904,6.0,3.5,1505 12th St SE,sushi asianfusion noodles,44.010489,-92.441017
