,id,name,state,city,zip code,review count,rating,address,categories,latitude,longitude
0,E7nri9iT3VoRi-aHlkuW4w,Flavors of The Philippines,NY,Watertown,13601,11.0,4.5,568 Bradley St,filipino,43.9859,-75.91614
0,M-zv_99NwA7y98FfHcAOPQ,Juju66,NY,Watertown,13601,8.0,3.5,21182 Salmon Run Mall Lp W,bubbletea juicebars,43.977443,-75.952637
1,acLe3P0gKyaAxwrjxdX_sQ,Pho Vietnam,NY,New Hartford,13413,76.0,4.0,8469 Seneca Tpke,vietnamese noodles,43.082106689006864,-75.32312226860772
2,lAFWhSAMXhYgWg4DH04GvA,Juju66,NY,Watertown,13601,1.0,4.0,1283 Arsenal St,juicebars bubbletea,43.977671086447515,-75.95241980723439
3,ihcSXwYfS9iobAwpNo6iLA,Mitsuba Ramen,NY,New Hartford,13413,8.0,3.0,4759 Commercial Dr,ramen bubbletea poke,43.093846,-75.307592
4,tAZjgGLLNjUnnVmSL3hSxg,Pho Mekong House of Noodles,NY,Utica,13501,109.0,4.0,601 John St,vietnamese noodles,43.09971,-75.22718
5,sPWbf8gqUrIhN-rCyb9v-A,The Java Shop by Cucina Berto,NY,Herkimer,13350,6.0,4.5,209 N Main St,coffee sandwiches juicebars,43.0268192,-74.9875064
6,VVUC2_ceLkjr-zv4yAMdLg,Heart of Cambodia,NY,Utica,13501,41.0,5.0,32 Bank Pl,cambodian thai,43.09956,-75.23297
7,w6JCByDvfi9tJqMIChs5Ag,Lotus Restaurant,NY,Watertown,13601,170.0,4.0,1283 Arsenal St,vietnamese,43.974173082518675,-75.94498813455387
8,5RMFYGpXnDV_gCJy9zXwQQ,HJP Cafe / Vietnamese Restaurant,NY,Herkimer,13350,4.0,3.0,268 N Main St,vietnamese,43.02815,-74.98827
9,srIxE1DcyDUMgBXk1QT8PA,Apsa Restaurant,NY,New Hartford,13413,5.0,4.5,103 New Hartford Shopping Ctr,cambodian thai vietnamese,43.07836966949343,-75.29253998551134
10,OPbzht4VTIJ6ZRULKdJyDA,1025 Ruyi Japanese Steak House,NY,Watertown,13601,122.0,3.5,1025 Arsenal St,sushi japanese steak,43.9763,-75.93519
11,7hzPaIIlVunixEUO-X1Y-A,PieZano's Pizza,NY,Watertown,13601,68.0,4.0,1322 Washington St,chicken_wings pizza sandwiches,43.958,-75.91504
12,94SKTg4402NpUa964OTbQQ,Ruyi Sushi,NY,Evans Mills,13637,92.0,4.0,26121 US Rt 11,japanese sushi,44.04503745491766,-75.83864146159576
0,YizdiiVetgRIdJY9W1mcKA,Tous Les Jours,NY,Syracuse,13224,147.0,4.5,2743 Erie Blvd E,coffee bakeries desserts,43.05507,-76.09458
1,vJ-7J-iwqafTUMsKUHl_hA,Popcorn Supply Company,NY,Syracuse,13204,3.0,2.5,842 W Belden Ave,popcorn shavedice partyequipmentrentals,43.0552,-76.16575
2,5NoPmtnE_6S6k0bYFTyBqw,Hi Tea,NY,Syracuse,13210,49.0,4.0,113 Marshall St,bubbletea chinese,43.04177,-76.13625
3,Y1v8WFHyNARyCNacnf0PNA,Unique Tea House,NY,Syracuse,13210,78.0,4.0,171 Marshall St,coffee tea,43.0418068,-76.1349079
6,qAibfFHVip3Brr93fb6oDA,Kung Fu Tea,NY,Syracuse,13204,60.0,4.0,306 Hiawatha Blvd W,coffee bubbletea juicebars,43.06764,-76.171523
8,0xmYIkRKhyzyNA2fNBwA3A,Luna Cafe,NY,Syracuse,13210,14.0,4.5,1001 E Fayette St,japanese newamerican coffee,43.04856681376726,-76.1362987
11,HiUzHxZ5ApqxoAn0oCY9mg,U Tea,NY,Syracuse,13204,10.0,3.0,3 Destiny Usa Dr,bubbletea,43.06843,-76.171018
12,1YzNDIjiVJl7oB2MSg9qLQ,Vietnamese Noodle House,NY,North Syracuse,13212,295.0,4.5,709 N Main St,vietnamese soup noodles,43.14412,-76.128
15,xk-ZCpvs3Jkl1Mo27JP1LA,Vietnamese Noodle House,NY,Camillus,13031,90.0,4.5,3801 Milton Ave,vietnamese,43.05195,-76.26678
16,nku1JX4J_qVmGfj-MsjtiA,Kung Fu Tea,NY,Syracuse,13210,2.0,4.0,727 S Crouse Ave,coffee juicebars bubbletea,43.042109,-76.136108
17,JVa9u01XcGbsEY0tKixu2Q,Mitsuba Ramen Noodle,NY,Syracuse,13214,151.0,4.0,3206 Erie Blvd E,ramen poke,43.0515862053891,-76.0733555809806
19,qIa9UIPe-QI5tjBupPXUyg,Spoon & Chopsticks Korean cuisine,NY,Syracuse,13203,71.0,4.5,753 James St,korean asianfusion noodles,43.0561981,-76.141372
20,P-OkskIROj5Zzwrp_I6MVw,Dang's Cafe,NY,Syracuse,13208,62.0,4.5,1828 Butternut St,vietnamese,43.0766599,-76.14249
21,SoKyXbHKQSPCeDeMKqcKWw,Zhou's Restaurant,NY,Syracuse,13210,13.0,3.5,1449 Erie Blvd E,chinese,43.050181,-76.125423
22,wm1KozGnm63U6tUI41bMEw,Red Chili,NY,Syracuse,13224,223.0,4.0,2740 Erie Blvd E,szechuan hotpot asianfusion,43.05417939596975,-76.09622301303737
23,pOnIMonL4UcS_BEtBE_hKw,China Cafe,NY,Syracuse,13202,47.0,3.5,227 W Fayette St,chinese,43.0485878,-76.1546402
24,It6-y5hxX479Sf9J4PgnZQ,Asian Wok,NY,Syracuse,13219,59.0,4.0,4114 W Genesee St,chinese,43.0461696391392,-76.243333895574
27,WoGciyU_qwFNCttduxUOwA,Sakana-Ya Sushi Bar,NY,Syracuse,13202,167.0,3.5,215 Walton St,sushi japanese,43.047786,-76.156219
0,bTcC_lueSJE7rwsuBASdqA,Boba Yaga,NY,Oneonta,13820,1.0,5.0,156 Main St,bubbletea creperies,42.45321,-75.06247
1,J0bGcv58s_yguWxkAEp04A,Tiger Asian Cuisine,NY,Oneonta,13820,57.0,4.5,195 Main St,japanese asianfusion sushi,42.4541171661347,-75.06212938496842
8,ikoAw2_xOblu3vkxiwYo6w,China 19,NY,Oneonta,13820,77.0,2.5,100 Main St,chinese,42.45216,-75.06331
0,_Iox57jTitGc86IlIv4P4Q,Kona Ice,NY,Rexford,12065,1.0,5.0,,shavedice icecream foodtrucks,42.8540802001953,-73.8879623413086
1,66ZFCfUfUIrxvJTxj_pteQ,Berry & Berry,NY,Albany,12203,30.0,3.5,1 Crossgates Mall Rd,shavedice bubbletea icecream,42.6896402716074,-73.8501607990148
2,S0KqImldejQ6P9smvSD3Mw,Namu,NY,Albany,12205,156.0,4.0,1770 Central Ave,korean,42.7282710683347,-73.8466234104508
3,Y3OBlkjRhfxk4KQwd7XBdg,Short and Stout Tea,NY,Albany,12203,144.0,4.5,1736A Western Ave,bubbletea tea gourmet,42.68836,-73.86179
7,qsha7smyX33QntHhQha8zw,Storied Coffee,NY,Scotia,12302,32.0,4.5,143 Mohawk Ave,bubbletea coffee,42.82635213761104,-73.96405460268896
10,OjlmczHpKcDsH_Onm5nv6Q,M Cafe,NY,Schenectady,12304,11.0,3.5,1754 State St,breakfast_brunch bubbletea,42.78136,-73.90573
13,dqc30TddsbGhZd8nP1mXlg,Union Cajun Seafood & Wings,NY,Schenectady,12309,12.0,4.0,1638 Union St,chicken_wings seafood bubbletea,42.80409376722356,-73.90362471102247
14,8LDNhjNZfCi4aG07LLIUbQ,Hong Kong Bakery & Bistro,NY,Albany,12205,335.0,4.0,8 Wolf Rd,dimsum cantonese bakeries,42.7094263,-73.8217696
15,jgOjxfAyNNKQsuvJZZpMdw,Galleria 7 Market,NY,Latham,12110,61.0,4.0,1214 Troy Schenectady Rd,food_court pizza seafoodmarkets,42.770814,-73.824334
16,Piq8Zn-eGfguMVGFYa6T5w,Pho Queen,NY,Schenectady,12305,83.0,4.0,96 Jay St,thai,42.81451,-73.93998
17,iR6uSw-pW2-bqZ0sO3Z1lw,Storied Coffee,NY,Schenectady,12309,2.0,5.0,1671 Union St,coffee bubbletea breakfast_brunch,42.80479,-73.90374
19,lhtfn2bfrEi_Xsg_QUYf3w,Jade Bistro,NY,Scotia,12302,132.0,4.0,120 Mohawk Ave,asianfusion,42.82603,-73.96257
20,M-4XBB8q15xBAYdWCNSq3A,Thai Thai Bistro,NY,Niskayuna,12309,58.0,3.0,2309 Nott St E,thai sushi bars,42.8163,-73.89133
21,0Skr6NDOTqP5Sf0boFOa0g,Pho Yum,NY,Colonie,12205,228.0,3.0,1558 Central Ave,vietnamese,42.7150770586368,-73.8306149944062
4,b1M9TB5zywo6DIVO9X6kfA,Seoul Korean Restaurant,NY,Latham,12110,169.0,4.0,952 Troy Schenectady Rd,korean,42.76221,-73.797639
5,aMjxfXsOyOicoSkE6FlMmw,Druthers Brewing,NY,Saratoga Springs,12866,725.0,4.0,381 Broadway,breweries comfortfood pizza,43.0812670750066,-73.7866056270523
6,rZeLQKi3s-65i7GYbdccHQ,Jacob & Anthony's American Grille,NY,Saratoga Springs,12866,75.0,3.5,38 High Rock,tradamerican,43.0837945,-73.7823469
1,7Gq4yPbukngoBx1Slx7ujQ,Dr. Milk,NY,Delmar,12054,2.0,4.5,159 Delaware Ave,bubbletea desserts juicebars,42.62999,-73.81098
5,dTSxcejIh_5ZgGWPtobP6w,Romanteac Bubble Tea,NY,Albany,12211,9.0,3.0,260 Osborne Rd,cafes bubbletea tea,42.706439,-73.77467
11,cAsdA0WLIsVssfO6cdn9yw,Kcaffe,NY,Clifton Park,12065,56.0,4.0,200 Clifton Corporate Pkwy,juicebars chinese bubbletea,42.8637766794651,-73.7882614041938
