,id,name,state,city,zip code,review count,rating,address,categories,latitude,longitude
0,XKtIlVSnm6TVWPFOayenHQ,Rita's Italian Ice,PA,Gilbert,18331,4.0,4.5,1268 Route 209,desserts shavedice icecream,40.915371,-75.437167
1,N50eLdac1MJEbjT6QfCYEQ,Inihaw Filipino Barbecue,PA,Bethlehem,18017,20.0,5.0,3350 Schoenersville Rd,bbq filipino,40.659371,-75.418638
2,73rFaAJPuEc_vqDDC5cY-w,Sprinkles Ice Cream Shoppe,PA,Bath,18014,2.0,5.0,626 E Main St,foodtrucks shavedice icecream,40.72243,-75.38205
3,OvCCSwZuQ_x3czY5W2TZZQ,Rita's Italian Ice,PA,Stroudsburg,18360,6.0,3.5,1319 N 5th St,icecream desserts shavedice,41.00157,-75.19848
4,XYqpEzrPAmGSwmCisQ5DUA,Rita's Italian Ice,PA,Mount Pocono,18344,1.0,1.0,613 Pocono Blvd,desserts shavedice icecream,41.132654,-75.363124
5,PTz2nRSGpyD7PhTaS7etag,Rita's Italian Ice,PA,Wind Gap,18091,7.0,3.5,501 E Moorestown Rd,desserts shavedice icecream,40.8320248,-75.302491
6,s0j7hGOWMXJ2Glb7HThD8Q,Rita's Italian Ice,NJ,Stewartsville,08886,2.0,4.5,450 County Rd 519,shavedice desserts icecream,40.68782,-75.145582
7,WM_HQ2ATwYTEQnGyfSJb9A,Rita's Italian Ice,PA,Walnutport,18088,2.0,4.5,405 S Best Ave,desserts shavedice icecream,40.75244,-75.59095
8,iEMv0DKjYWHRmayodgRozg,Rita's Italian Ice,PA,Nazareth,18064,5.0,3.0,52 East Lawn Rd,desserts shavedice icecream,40.74795,-75.30307
9,HevQNI17wfKosXovlBW2HQ,Rita's Italian Ice,PA,Easton,18045,10.0,3.5,3730 William Penn Hwy,icecream desserts shavedice,40.671630859375,-75.2670440673828
10,2gNcy6jabkWMKPPPYaLMwQ,Rita's Italian Ice,PA,Northampton,18067,3.0,1.0,3219 Cherryville Rd,icecream desserts shavedice,40.7063103,-75.5061035
11,kynlxhb231Y6q3KwIPmDrg,Rita's Italian Ice,PA,Schnecksville,18078,6.0,3.5,4041 Route 309,desserts shavedice icecream,40.65693,-75.6001
0,971I8krj7WAtGTJAOd9oNw,Fruit A Bowls,PA,East Stroudsburg,18301,6.0,4.0,9 Crystal St,acaibowls juicebars bubbletea,40.999053,-75.181998
1,kLqPSZpEnPVBozEbMn4HXg,8° Thai Ice Cream,PA,Stroudsburg,18360,2.0,4.5,766 Main St,icecream bubbletea,40.98505,-75.1959
2,sGrQyPEj-dwfETNkFR6M3w,Divine Health  Smoothies,PA,Wilkes-Barre,18702,1.0,5.0,28 Wyoming Valley Mall,bubbletea juicebars acaibowls,41.2465738,-75.8421194
3,hjrtMkRPW_kiHJ7xOHofLQ,Tokyo Sushi,PA,Easton,18042,53.0,4.5,22 N 3rd St,sushi salad soup,40.69211,-75.20941
4,jX8B1Ovw41xo7wXuV38bVQ,Pho Saigon II Vietnamese Cuisine,PA,Bartonsville,18321,436.0,4.5,3180 Rte 611,vietnamese,41.0184077273318,-75.2965178827603
5,j4aPMfDV9g_WZ6-W1LS1HQ,Hawaii Poke Bowl Forks,PA,Easton,18040,46.0,5.0,306 Town Center Blvd,japanese hawaiian poke,40.7125044,-75.2205668
6,Z0uVPgX1mY9xlYUUx92ZHg,Pathai,PA,East Stroudsburg,18302,48.0,4.5,106 Columbia Dr,vietnamese thai,41.0378421107545,-75.1251608133316
7,uYFRwF23vifIR-CKq8cLbg,Sushi Ninja,NJ,Alpha,08865,29.0,5.0,827 3rd Ave,sushi,40.665425,-75.15747667
8,yNrw3gO4eW6or8_lR6tEKw,Got Beans,PA,Stroudsburg,18360,6.0,2.5,344 Stroud Mall Rd,coffee breakfast_brunch,40.989889,-75.223853
4,Efce0lwPvgvaqCNP3GcwxQ,Rita's Italian Ice,PA,Whitehall,18052,3.0,4.5,2874 Macarthur Rd,icecream desserts shavedice,40.648408,-75.497718
9,Q09sOBhjMGgMpdkJiY5yfw,Rita's Italian Ice,PA,Bethlehem,18017,4.0,2.5,1907 Stefko Blvd,desserts shavedice icecream,40.64011,-75.34793
13,_DDhGG9Wj2_cRJdjDiM5Uw,Rita's Italian Ice,PA,Allentown,18103,2.0,3.0,1905 Union Blvd,icecream desserts shavedice,40.62578,-75.42759
0,YJrEyDZFYb0mIxjErJ7noQ,Hocaa Bubble Tea,PA,Bethlehem,18015,20.0,4.5,220 E 3rd St,bubbletea coffee,40.611980820983156,-75.37502891608129
