,id,name,state,city,zip code,review count,rating,address,categories,latitude,longitude
0,HrKzqMFrcaBapatzfjZp-A,Bubble Tea Cafe,IA,Davenport,52806,16.0,3.0,320 W Kimberly Rd,juicebars bubbletea,41.564517,-90.573445
1,RfWp0SfAEtbb7K8I5PtIFQ,Miss Phay Cafe,IA,Davenport,52801,67.0,4.5,512 Brady St,asianfusion,41.524951,-90.574358
2,GW1Hj9Va4_Z9-EE0NlHpkA,Icy Bubbles,IL,Moline,61265,6.0,3.5,4601 16th St,bubbletea icecream juicebars,41.46662,-90.50772
3,9QThbjttTwr9LT3rujCPTw,Eddy's Snack Bar,IA,Davenport,52804,27.0,5.0,1132 W Locust St,asianfusion sushi,41.538469,-90.589894
4,X73h5UZTjUljVpZtq0uteA,Royal Tea,IA,Le Claire,52753,1.0,1.0,316 N Cody Rd,coffee nonprofit jewelry,41.60006,-90.34403
5,OqAGdWV6_FmVF-5r318vVg,Bubble Tea southpark mall,IL,Moline,61265,5.0,1.5,4500 16th St,coffee juicebars,41.4665079924215,-90.5033684418342
0,HxyGYLiuE-p-7fyz8hsslg,Sno Biz of Iowa City REAL Shave Ice Made Right,IA,Iowa City,52245,4.0,4.5,812 S 1st Ave,shavedice foodstands,41.6514053344727,-91.5008926391602
0,LwArK88jtowNBgMeQIP7FA,Teamo Tea,IA,Iowa City,52240,31.0,4.5,121 E Washington St,bubbletea,41.65975,-91.53366
1,UJo1BzL61AAfse6X4e8Dqw,Hi Tea,IA,Cedar Rapids,52402,10.0,4.5,5472 Blairs Forest Way NE,bubbletea coffee desserts,42.033118,-91.6785
3,pZO_Q4JTXQJ-vQg5ds1Sww,La Tea,IA,Iowa City,52240,10.0,3.5,123 E Washington St,bubbletea accessories,41.659751,-91.533593
4,JeAiW5wYoMdoBRu-_bAHnw,Bubble Pop,IA,Iowa City,52240,13.0,4.0,201 S Clinton St,bubbletea,41.659268015631,-91.5353561
8,m38prG2YSVZSyg1xJIxsxA,LA Wine Bar & Restaurant,IA,Iowa City,52240,9.0,4.5,180 E Burlington St,korean bubbletea karaoke,41.65802,-91.53356
10,vkC9uwLvVQ05oYWRKIE_6w,Pho Mai Restaurant,IA,Cedar Rapids,52404,108.0,4.0,2315 Edgewood Rd SW,vietnamese,41.95555,-91.71504
11,-tyy3knugCLNGmJ3TU3lYQ,Pinoy Cafe,IA,Cedar Rapids,52401,3.0,2.5,1100 3rd St SE,filipino foodstands bubbletea,41.9712781381993,-91.65764154255699
12,ZQclX6V0cBcL36cu7w8nkA,No.18 Karaoke & Bubble tea,IA,Iowa City,52240,2.0,2.5,223 S Gilbert St,bubbletea karaoke,41.6587057,-91.5302166
14,1OLMnGatzpKU2qJvTGgFIg,Soseki Café,IA,Iowa City,52240,78.0,4.5,227 S Dubuque St,sushi japanese coffee,41.6582939651956,-91.5332741508928
15,nJfpZE6V1xE-ovpOe0biGg,Orange Leaf Frozen Yogurt,IA,Cedar Rapids,52402,11.0,3.5,4866 1st Ave NE,desserts icecream diyfood,42.0266865,-91.619847
16,1fiUMU90Y1Ag3SiKfmRIJg,Uncle Sun,IA,Iowa City,52240,55.0,2.5,100 S Linn St,chinese,41.6600911001859,-91.5315966666615
17,gplthUOqt28Qar-YQSpI2A,Szechuan House,IA,Iowa City,52240,117.0,3.5,320 E Burlington St,szechuan,41.6581611633301,-91.5307235717773
18,DensY6Kenq6u8ZhHVbgeYA,NaRa Thai Cuisine,IA,Marion,52302,84.0,4.5,1725 Blairs Ferry Rd,thai panasian asianfusion,42.03294,-91.63054
0,f36TN3YkL6pR2C6_3D4NFg,Kealohas Seasonal Shave Ice Stand,WI,Milwaukee area,53201,3.0,5.0,,streetvendors shavedice,43.0346298217773,-87.9150772094727
1,8FIrip9y7zJ5nP17zxNMUQ,Fusion Poke,WI,Milwaukee,53202,84.0,4.5,1813 E Kenilworth Ave,poke ramen,43.0598446760545,-87.8874788259521
2,EcMDuvX7fTOpp20n4Id1jw,Ono Kine Grindz,WI,Wauwatosa,53213,510.0,4.5,7215 W North Ave,hawaiian bbq delis,43.06048,-88.0026
3,CpaMBEYupQrelpl97TN-iw,Meat on the Street,WI,Milwaukee,53233,58.0,4.0,1125 N 9th St,filipino,43.04493,-87.923696
4,W8jtWVd_y5IkPf4wS7dfLQ,Blue Bat Kitchen & Tequilaria,WI,Milwaukee,53202,423.0,4.0,249 N Water St,newamerican breakfast_brunch,43.0336317,-87.9092532
5,tEdIvCtkc_bKDtg2J5FUqQ,Champps Americana,WI,Brookfield,53005,143.0,4.0,1240 S Moorland Rd,tradamerican sportsbars,43.01844,-88.10569
0,dmuA3vymlN3tz_8DCSgbLQ,Pearl of Canton,WI,West Bend,53095,57.0,4.0,102 S Main St,sushi thai chinese,43.4232739981177,-88.1826012209058
1,bjVLhHzpjiBnhzfODaPGSw,Pho VN,WI,Sheboygan,53081,68.0,4.0,2209 S Business Dr,vietnamese noodles sandwiches,43.73058,-87.72964
2,bQ8LpjRnPyNQrNjYNbFruw,SereniTea,WI,Milwaukee,53233,47.0,4.0,1414 W Wells St,bubbletea,43.04051,-87.93053
3,6sOwZcubajTC9HZZgso6QA,Bangkok Thai Cuisine,WI,Oshkosh,54901,45.0,4.0,80 Wisconsin St,thai,44.019551,-88.548238
4,MIU0oMnyyVor-6orkkUfOw,Fusion Poke,WI,Milwaukee,53202,3.0,5.0,1433 N Jefferson St,ramen poke bubbletea,43.04896,-87.90621
5,Ro6SzQF7excvmhXMBPld3A,Le's Pho,WI,Cedarburg,53012,89.0,4.5,W63 N148 Washington Ave,vietnamese,43.2807404660115,-87.9871952533722
6,-HfKSZ8l5PHOzD8xjo_eEQ,Bubblelicious,WI,Wauwatosa,53226,18.0,3.5,2500 N Mayfair Rd,bubbletea,43.063668,-88.044399
7,kuXjduZxxILXQZLCVjqelA,R&R Poke,WI,Wauwatosa,53213,78.0,4.5,1460 Underwood Ave,sushi juicebars poke,43.050889,-88.008342
8,dihFK3WDo0cXYxcl-PAtvQ,Fusion Cafe - West Allis,WI,West Allis,53214,146.0,4.0,1427 S 108th St,chinese sushi noodles,43.01558,-88.04746
9,xHf3sZWyWp448Cz9XJf6Jg,Xankia,WI,Milwaukee,53203,156.0,4.0,222 W Wells St,vietnamese bubbletea sandwiches,43.0402794,-87.913414
10,678_7pGRnQSqmC1Rj8kd_g,Evie's Vietnamese Kitchen,WI,Menomonee Falls,53051,74.0,4.5,N89W16851 Appleton Ave,vietnamese,43.180336,-88.119916
12,AMAPqrnb00Le2Iyx1D-S5Q,Pho One24,WI,Brookfield,53005,206.0,4.0,3705 N 124th St,vietnamese,43.08544,-88.06696
13,aGku_HhnIiLMA4_O3Rl70Q,Bento Xpert,WI,Milwaukee,53233,58.0,5.0,1125 N 9th St,taiwanese chinese,43.04499,-87.92371
14,BCxnxlqdzptqJVastOCm1Q,DanDan,WI,Milwaukee,53202,354.0,4.0,360 E Erie St,asianfusion dimsum,43.0300114967349,-87.9053248279705
15,sewGdnVzNyvSclu59HhRLQ,Swaye Tea,WI,West Allis,53214,8.0,4.5,7326 W Greenfield,tea herbalshops juicebars,43.016974,-88.004271
16,dqsP3VWz4HVKV7R-EMzXKQ,Rice N Roll Bistro,WI,Milwaukee,53202,398.0,4.5,1952 N Farwell Ave,sushi thai asianfusion,43.0562591552734,-87.8888854980469
17,_l72RF5dwuJ_RxqlGsNsgA,Asian Fusion,WI,Milwaukee,53202,131.0,4.0,1609 E North Ave,asianfusion chinese noodles,43.0598405274044,-87.8901134688587
18,CNKAwzEuM_KQjklPRmAk6A,PHO 4 U Vietnamese Cuisine,WI,Brookfield,53005,66.0,4.0,3835 N 124th,vietnamese,43.08662567,-88.06724633
19,ayk85ML_76bKu-8lhCSuhQ,Tangled - Noodles and More,WI,Milwaukee,53233,108.0,4.0,1404 W Wells St,chinese noodles,43.0403949,-87.9303894
20,K8gurISD9lfFXC3L1lYxJw,O So Good,WI,Milwaukee,53218,29.0,4.0,6309 N 76th St,asianfusion,43.13246,-88.00632
21,V_4CC3zryGdAzzw0zcj64w,The Drive Thru,WI,Milwaukee,53202,50.0,3.5,1801 E N Ave,donuts coffee hotdogs tradamerican,43.0598183,-87.8877792
22,RH_HWeJeeRHzFV5bPTwViQ,Artisan Ramen,WI,Milwaukee,53202,215.0,4.0,530 E Mason St,asianfusion ramen sushi,43.0402008,-87.904937
