,POPESTIMATE,X..Adults.with.Obesity,Trade_2020,Employment.Location.Quotient.Relative.to.U.S._1,Asian,num_competitor,college_cnt,income_median,pop_belowPovertyThreshold,selfstorage_count,shopping_mall_cnt,POPESTIMATE_nor,X..Adults.with.Obesity_nor,Trade_2020_nor,Employment.Location.Quotient.Relative.to.U.S._1_nor,Asian_nor,num_competitor_nor,college_cnt_nor,income_median_nor,pop_belowPovertyThreshold_nor,selfstorage_count_nor,shopping_mall_cnt_nor,Clusters,State,County,MF_exist,nm_MF
573,12147,32.9,0.0,0.62,9,0,0,431122.0,42.35,0,0,0.0016178261670460896,0.592885375494071,0.0,0.2571428571428572,2.3308876279074585e-05,0.0,0.0,0.012753015744660473,0.017872283457539388,0.0,0.0,0,Illinois,Cass,0,0
574,209689,30.4,1048064.0,0.87,22869,21,4,2577128.0,278.5,0,2,0.04000223845273173,0.4940711462450592,0.024798824721063383,0.6142857142857143,0.05922785462512852,0.028965517241379312,0.03571428571428571,0.13523637081121367,0.12325404971216923,0.0,0.022988505747126436,0,Illinois,Champaign,1,1
575,32304,36.0,248611.0,0.9,228,0,0,962784.0,89.7,0,0,0.005534535517171963,0.7154150197628458,0.005882523026006321,0.6571428571428573,0.0005904915324032228,0.0,0.0,0.04309763990759096,0.03900218662144675,0.0,0.0,0,Illinois,Christian,0,0
576,15441,30.8,60149.0,0.64,51,3,0,477510.0,25.5,0,0,0.002257883745024689,0.5098814229249011,0.0014232189142526044,0.28571428571428575,0.00013208363224808932,0.004137931034482759,0.0,0.015400612198177972,0.01035298317640234,0.0,0.0,0,Illinois,Clark,0,0
577,13184,28.4,74033.0,0.58,72,0,0,451226.0,89.4,0,0,0.0018193257749282413,0.41501976284584974,0.0017517359536960392,0.19999999999999996,0.00018647101023259668,0.0,0.0,0.01390045213125864,0.03886831183899327,0.0,0.0,0,Illinois,Clay,0,0
578,37562,31.0,183787.0,0.79,215,0,0,916035.0,125.4,0,0,0.006556218196288988,0.5177865612648221,0.004348686338820984,0.5000000000000001,0.0005568231555556707,0.0,0.0,0.04042943936854014,0.0549332857334107,0.0,0.0,0,Illinois,Clinton,0,0
579,50621,32.7,364152.0,1.04,601,0,2,376951.0,86.7,0,2,0.009093714222646768,0.5849802371541503,0.00861640283401078,0.8571428571428573,0.0015565149604137584,0.0,0.017857142857142856,0.009661204339049188,0.03766343879691196,0.0,0.022988505747126436,0,Illinois,Coles,0,0
580,5150233,27.7,42262648.0,1.12,386119,725,112,17728476.0,2243.2,138,87,1.0,0.38735177865612647,1.0,0.9714285714285718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,Illinois,Cook,0,0
581,18667,28.2,72176.0,0.64,21,0,1,489819.0,80.2,0,0,0.002884728233961836,0.40711462450592883,0.0017077964447471442,0.28571428571428575,5.438737798450737e-05,0.0,0.008928571428571428,0.01610314873233221,0.03476281851041993,0.0,0.0,0,Illinois,Crawford,0,0
582,10766,25.4,55825.0,0.78,19,0,0,334948.0,35.1,0,0,0.001349483873424825,0.2964426877470355,0.0013209063473732172,0.48571428571428577,4.920762770026857e-05,0.0,0.0,0.007263881888478018,0.014636976214913656,0.0,0.0,0,Illinois,Cumberland,0,0
583,104897,32.8,690475.0,0.83,2242,1,4,1251890.0,165.9,0,2,0.019640090999321468,0.5889328063241105,0.016337712677161165,0.5571428571428572,0.0058065000686316915,0.001379310344827586,0.03571428571428571,0.05959837329317839,0.0730063813646303,0.0,0.022988505747126436,0,Illinois,DeKalb,0,0
584,15638,28.3,137952.0,0.86,0,0,0,571612.0,58.1,0,0,0.002296162841218309,0.41106719367588934,0.0032641589329660556,0.6,0.0,0.0,0.0,0.020771486593903234,0.02490070953634701,0.0,0.0,0,Illinois,DeWitt,0,0
585,19465,26.4,99495.0,0.62,121,0,0,481422.0,68.9,0,1,0.0030397877200659413,0.33596837944664026,0.00235420648512133,0.2571428571428572,0.0003133748921964472,0.0,0.0,0.015623889712323018,0.02972020170467224,0.0,0.011494252873563218,0,Illinois,Douglas,0,0
