county_fips,review count,rating
4013,42.0,3.5
6001,639.0,3.1666666666666665
6037,1991.0,3.125
6059,1445.0,3.25
6073,585.0,4.0
6081,737.0,2.75
6085,1414.0,3.0
13089,182.0,4.0
17019,9.0,2.5
25025,18.0,4.0
26125,41.0,4.0
34017,24.0,3.5
34023,63.0,4.0
36047,79.0,4.0
36061,509.0,3.5
36081,20.0,3.5
37037,129.0,4.5
48085,252.0,3.5
48201,302.0,3.75
49035,166.0,4.0
53033,399.0,3.5
