,FIPS,State,County,MF_exist,location_score
285,9007,Connecticut,Middlesex,0,75.3800285690804
1353,27137,Minnesota,St.Louis,0,75.35683617719336
2041,39063,Ohio,Hancock,0,75.3465656731377
2773,49053,Utah,Washington,0,75.34299540059885
1110,22057,Louisiana,LafourcheParish,0,75.34289259093907
2451,47113,Tennessee,Madison,0,75.34133335207697
1967,38021,North Dakota,Dickey,0,75.326707055709
946,20177,Kansas,Shawnee,0,75.3096107937476
407,13095,Georgia,Dougherty,0,75.29554369086925
2050,39081,Ohio,Jefferson,0,75.292501982332
2311,45055,South Carolina,Kershaw,0,75.28543987192941
214,6111,California,Ventura,0,75.27805308757424
822,19127,Iowa,Marshall,0,75.27532148767982
2953,54033,West Virginia,Harrison,0,75.27257671998973
1504,29107,Missouri,Lafayette,0,75.24164494016459
1312,27061,Minnesota,Itasca,0,75.22415001880331
1992,38071,North Dakota,Ramsey,0,75.200153654508
2885,51179,Virginia,Stafford,0,75.19138419154666
1184,24047,Maryland,Worcester,0,75.18949865423366
339,12091,Florida,Okaloosa,0,75.16875870619296
1082,22001,Louisiana,AcadiaParish,0,75.16827452678295
2183,41017,Oregon,Deschutes,0,75.16799341981574
1104,22045,Louisiana,IberiaParish,0,75.16675877061279
2731,48479,Texas,Webb,0,75.16575924962962
2237,42051,Pennsylvania,Fayette,0,75.15813732327082
1766,35009,New Mexico,Curry,0,75.14956954642794
2196,41043,Oregon,Linn,0,75.14821872256944
2583,48181,Texas,Grayson,0,75.14717227287368
1986,38059,North Dakota,Morton,0,75.14705763018226
2492,47189,Tennessee,Wilson,0,75.14463066166931
1826,36063,New York,Niagara,0,75.14047198547358
2889,51185,Virginia,Tazewell,0,75.13505533076071
304,12021,Florida,Collier,0,75.1321224421013
76,4015,Arizona,Mohave,0,75.13095523914288
1363,27163,Minnesota,Washington,0,75.1270311189887
2459,47125,Tennessee,Montgomery,0,75.12666606048204
1545,29201,Missouri,Scott,0,75.08973894182685
969,21013,Kentucky,Bell,0,75.08942849717727
2096,39173,Ohio,Wood,0,75.08688321763796
207,6097,California,Sonoma,0,75.08171607163678
2079,39139,Ohio,Richland,0,75.06852944083688
2813,51041,Virginia,Chesterfield,0,75.05918205071472
1923,37133,North Carolina,Onslow,0,75.04800043728687
2321,45075,South Carolina,Orangeburg,0,75.04598936716911
303,12019,Florida,Clay,0,75.04505542684035
1523,29145,Missouri,Newton,0,75.04350973125113
1035,21151,Kentucky,Madison,0,75.03589844571637
2770,49047,Utah,Uintah,0,75.03238919379136
1600,30073,Montana,Pondera,0,75.02895121569443
665,17201,Illinois,Winnebago,0,75.02798990213434
2900,53005,Washington,Benton,0,75.02746335190157
2113,40031,Oklahoma,Comanche,0,75.0138069933498
1958,38003,North Dakota,Barnes,0,75.00569649109569
700,18067,Indiana,Howard,0,74.98968480548413
1285,27007,Minnesota,Beltrami,0,74.98712660591502
2248,42073,Pennsylvania,Lawrence,0,74.9788158082946
3050,55117,Wisconsin,Sheboygan,0,74.97442659084093
2312,45057,South Carolina,Lancaster,0,74.9710923497565
2949,54025,West Virginia,Greenbrier,0,74.96532133414406
1219,26041,Michigan,Delta,0,74.96467680384265
99,5033,Arkansas,Crawford,0,74.95465962293105
1930,37147,North Carolina,Pitt,0,74.94158180744228
2030,39041,Ohio,Delaware,0,74.94050698550221
376,13031,Georgia,Bulloch,0,74.93414115176387
2507,48029,Texas,Bexar,0,74.92011203556173
470,13223,Georgia,Paulding,0,74.91480469565063
515,13313,Georgia,Whitfield,0,74.8989804719588
787,19057,Iowa,DesMoines,0,74.8805548273343
172,6029,California,Kern,0,74.87738512582236
2777,50003,Vermont,Bennington,0,74.8667399233068
2246,42069,Pennsylvania,Lackawanna,0,74.86275681377963
