,zip code,num_competitor,county,city,state,population
611,98383,12,Kitsap,Silverdale,Washington,22825.0
612,7073,12,Bergen,East Rutherford,New Jersey,9707.0
613,760,12,0,0,0,0.0
614,76010,12,Tarrant,Arlington,Texas,59526.0
615,21029,12,Howard,Clarksville,Maryland,11523.0
616,21218,12,Baltimore,Baltimore,Maryland,46172.0
617,27519,12,Wake,Cary,North Carolina,58178.0
618,27103,12,Forsyth,Winston Salem,North Carolina,35057.0
619,94588,12,Alameda,Pleasanton,California,36324.0
620,94546,12,Alameda,Castro Valley,California,45085.0
621,22209,12,Arlington,Arlington,Virginia,13172.0
622,80014,12,Arapahoe,Aurora,Colorado,39540.0
623,94536,12,Alameda,Fremont,California,74544.0
624,21702,12,Frederick,Frederick,Maryland,41729.0
625,94066,12,San Mateo,San Bruno,California,44538.0
626,78745,12,Travis,Austin,Texas,63287.0
627,21157,12,Carroll,Westminster,Maryland,38714.0
628,94010,12,San Mateo,Burlingame,California,42466.0
629,21117,12,Baltimore,Owings Mills,Maryland,59663.0
630,85282,12,Maricopa,Tempe,Arizona,56435.0
631,21045,12,Howard,Columbia,Maryland,40265.0
632,85,12,0,0,0,0.0
633,8542,12,Mercer,Princeton,New Jersey,5399.0
634,85719,12,Pima,Tucson,Arizona,48196.0
635,27560,12,Wake,Morrisville,North Carolina,37830.0
636,28277,12,Mecklenburg,Charlotte,North Carolina,70193.0
637,7621,12,Bergen,Bergenfield,New Jersey,27375.0
638,33027,12,Broward,Hollywood,Florida,66467.0
639,77055,12,Harris,Houston,Texas,45201.0
640,77070,12,Harris,Houston,Texas,56260.0
641,77098,12,Harris,Houston,Texas,15487.0
642,33174,12,Miami-Dade,Miami,Florida,35938.0
643,95207,12,San Joaquin,Stockton,California,51652.0
644,33137,12,Miami-Dade,Miami,Florida,22835.0
645,33127,12,Miami-Dade,Miami,Florida,30795.0
646,95207,12,San Joaquin,Stockton,California,51652.0
647,33021,12,Broward,Hollywood,Florida,49859.0
648,78705,12,Travis,Austin,Texas,33262.0
649,328,12,0,0,0,0.0
650,32809,12,Orange,Orlando,Florida,30100.0
651,78130,12,Guadalupe,New Braunfels,Texas,79786.0
652,31909,12,Muscogee,Columbus,Georgia,38486.0
653,78240,12,Bexar,San Antonio,Texas,61937.0
654,31401,12,Chatham,Savannah,Georgia,19580.0
655,78251,12,Bexar,San Antonio,Texas,65885.0
656,78,12,0,0,0,0.0
657,28202,12,Mecklenburg,Charlotte,North Carolina,14153.0
658,92705,12,Orange,Santa Ana,California,47044.0
659,10007,12,New York,New York,New York,7566.0
660,11021,12,Nassau,Great Neck,New York,18181.0
661,10583,12,Westchester,Scarsdale,New York,41087.0
662,2148,12,Middlesex,Malden,Massachusetts,60710.0
663,10021,12,New York,New York,New York,42253.0
664,11219,12,Kings,Brooklyn,New York,87812.0
665,11237,12,Kings,Brooklyn,New York,46772.0
666,2115,12,Suffolk,Boston,Massachusetts,29134.0
667,10994,12,Rockland,West Nyack,New York,7115.0
668,64,12,0,0,0,0.0
669,11222,12,Kings,Brooklyn,New York,36710.0
670,6492,12,New Haven,Wallingford,Connecticut,44428.0
671,11226,12,Kings,Brooklyn,New York,96332.0
672,30022,11,Fulton,Alpharetta,Georgia,69135.0
673,94112,11,San Francisco,San Francisco,California,85053.0
674,60634,11,Cook,Chicago,Illinois,75604.0
675,78748,11,Travis,Austin,Texas,52076.0
676,92804,11,Orange,Anaheim,California,88173.0
677,85224,11,Maricopa,Chandler,Arizona,45154.0
678,44512,11,Mahoning,Youngstown,Ohio,32096.0
679,30022,11,Fulton,Alpharetta,Georgia,69135.0
680,32746,11,Seminole,Lake Mary,Florida,46816.0
681,90631,11,Orange,La Habra,California,68748.0
682,95818,11,Sacramento,Sacramento,California,21437.0
683,31401,11,Chatham,Savannah,Georgia,19580.0
684,96706,11,Honolulu,Ewa Beach,Hawaii,76081.0
685,92131,11,San Diego,San Diego,California,34922.0
686,450,11,0,0,0,0.0
687,0,11,0,0,0,0.0
688,77479,11,Fort Bend,Sugar Land,Texas,95615.0
689,95818,11,Sacramento,Sacramento,California,21437.0
690,22903,11,Albemarle,Charlottesville,Virginia,40192.0
691,82,11,0,0,0,0.0
692,30097,11,Fulton,Duluth,Georgia,45894.0
693,20877,11,Montgomery,Gaithersburg,Maryland,37948.0
694,91325,11,Los Angeles,Northridge,California,34637.0
695,2122,11,Suffolk,Dorchester,Massachusetts,24874.0
696,32246,11,Duval,Jacksonville,Florida,55325.0
697,95020,11,Santa Clara,Gilroy,California,63522.0
698,30097,11,Fulton,Duluth,Georgia,45894.0
699,78249,11,Bexar,San Antonio,Texas,61712.0
700,93117,11,Santa Barbara,Goleta,California,59298.0
701,78704,11,Travis,Austin,Texas,51422.0
702,75067,11,Denton,Lewisville,Texas,67197.0
703,43551,11,Wood,Perrysburg,Ohio,39280.0
704,78218,11,Bexar,San Antonio,Texas,38749.0
705,781,11,0,0,0,0.0
706,30060,11,Cobb,Marietta,Georgia,40055.0
707,91773,11,Los Angeles,San Dimas,California,33703.0
708,23320,11,Chesapeake,Chesapeake,Virginia,59248.0
709,7043,11,Essex,Montclair,New Jersey,12544.0
710,78741,11,Travis,Austin,Texas,47529.0
711,19127,11,Philadelphia,Philadelphia,Pennsylvania,5610.0
712,96782,11,Honolulu,Pearl City,Hawaii,37843.0
713,95630,11,Sacramento,Folsom,California,79584.0
714,11374,11,Queens,Rego Park,New York,43173.0
715,96793,11,Maui,Wailuku,Hawaii,34619.0
716,12538,11,Dutchess,Hyde Park,New York,14566.0
717,956,11,Bayamón,Bayamon,Puerto Rico,60554.0
718,7054,11,Morris,Parsippany,New Jersey,28943.0
719,2446,11,Norfolk,Brookline,Massachusetts,29711.0
720,94041,11,Santa Clara,Mountain View,California,13996.0
721,94577,11,Alameda,San Leandro,California,48520.0
722,79936,11,El Paso,El Paso,Texas,108668.0
723,92649,11,Orange,Huntington Beach,California,35856.0
724,92503,11,Riverside,Riverside,California,93032.0
725,94040,11,Santa Clara,Mountain View,California,34804.0
726,60025,11,Cook,Glenview,Illinois,41552.0
727,701,11,0,0,0,0.0
728,27511,11,Wake,Cary,North Carolina,34108.0
729,79912,11,El Paso,El Paso,Texas,79861.0
730,12205,11,Albany,Albany,New York,26039.0
731,60053,11,Cook,Morton Grove,Illinois,22937.0
732,70,11,0,0,0,0.0
733,77007,11,Harris,Houston,Texas,40112.0
734,48103,10,Washtenaw,Ann Arbor,Michigan,55078.0
735,93036,10,Ventura,Oxnard,California,47126.0
736,209,10,0,0,0,0.0
737,33162,10,Miami-Dade,Miami,Florida,47855.0
738,98375,10,Pierce,Puyallup,Washington,32349.0
739,10031,10,New York,New York,New York,60280.0
740,46227,10,Marion,Indianapolis,Indiana,55806.0
741,10029,10,New York,New York,New York,74617.0
742,65,10,0,0,0,0.0
743,70115,10,Orleans,New Orleans,Louisiana,34831.0
744,17402,10,York,York,Pennsylvania,38026.0
745,46204,10,Marion,Indianapolis,Indiana,9410.0
746,20904,10,Montgomery,Silver Spring,Maryland,55856.0
747,7042,10,Essex,Montclair,New Jersey,26526.0
748,91104,10,Los Angeles,Pasadena,California,37784.0
749,432,10,0,0,0,0.0
750,19047,10,Bucks,Langhorne,Pennsylvania,33199.0
751,32459,10,Walton,Santa Rosa Beach,Florida,18160.0
752,78660,10,Travis,Pflugerville,Texas,101937.0
753,33308,10,Broward,Fort Lauderdale,Florida,27226.0
754,70056,10,Jefferson,Gretna,Louisiana,41727.0
755,43221,10,Franklin,Columbus,Ohio,34354.0
756,78666,10,Hays,San Marcos,Texas,81844.0
757,29708,10,York,Fort Mill,South Carolina,38452.0
758,90029,10,Los Angeles,Los Angeles,California,36126.0
759,71446,10,Vernon,Leesville,Louisiana,20754.0
760,43235,10,Franklin,Columbus,Ohio,44158.0
761,97217,10,Multnomah,Portland,Oregon,34881.0
762,21704,10,Frederick,Frederick,Maryland,16478.0
763,78702,10,Travis,Austin,Texas,25393.0
764,33143,10,Miami-Dade,Miami,Florida,32055.0
765,190,10,0,0,0,0.0
766,90804,10,Los Angeles,Long Beach,California,38151.0
767,107,10,0,0,0,0.0
768,32901,10,Brevard,Melbourne,Florida,26014.0
769,21215,10,Baltimore,Baltimore,Maryland,55081.0
770,22044,10,Fairfax,Falls Church,Virginia,14078.0
771,68106,10,Douglas,Omaha,Nebraska,20688.0
772,10301,10,Richmond,Staten Island,New York,38001.0
773,90247,10,Los Angeles,Gardena,California,47507.0
774,96786,10,Honolulu,Wahiawa,Hawaii,41157.0
775,22015,10,Fairfax,Burke,Virginia,45028.0
776,70471,10,St. Tammany,Mandeville,Louisiana,22284.0
777,68114,10,Douglas,Omaha,Nebraska,17665.0
778,93003,10,Ventura,Ventura,California,51461.0
779,98516,10,Thurston,Olympia,Washington,25332.0
780,29607,10,Greenville,Greenville,South Carolina,40933.0
781,96913,10,Guam,Barrigada,Guam,
782,33026,10,Broward,Hollywood,Florida,32882.0
783,70433,10,St. Tammany,Covington,Louisiana,38203.0
784,90280,10,Los Angeles,South Gate,California,94905.0
785,7041,10,Essex,Millburn,New Jersey,6862.0
786,7652,10,Bergen,Paramus,New Jersey,26403.0
787,685,10,San Sebastián,San Sebastian,Puerto Rico,36546.0
788,46032,10,Hamilton,Carmel,Indiana,51229.0
789,11104,10,Queens,Sunnyside,New York,25037.0
790,70816,10,East Baton Rouge,Baton Rouge,Louisiana,41818.0
791,7029,10,Hudson,Harrison,New Jersey,20990.0
792,97205,10,Multnomah,Portland,Oregon,7679.0
793,80012,10,Arapahoe,Aurora,Colorado,53862.0
794,22033,10,Fairfax,Fairfax,Virginia,38724.0
795,70119,10,Orleans,New Orleans,Louisiana,37779.0
796,98405,10,Pierce,Tacoma,Washington,23671.0
797,32806,10,Orange,Orlando,Florida,26964.0
798,93021,10,Ventura,Moorpark,California,38235.0
799,32904,10,Brevard,Melbourne,Florida,
800,8028,10,Gloucester,Glassboro,New Jersey,21596.0
801,115,10,0,0,0,0.0
802,33132,10,Miami-Dade,Miami,Florida,15496.0
803,70,10,0,0,0,0.0
804,32931,10,Brevard,Cocoa Beach,Florida,14131.0
805,97123,10,Washington,Hillsboro,Oregon,49522.0
806,98444,10,Pierce,Tacoma,Washington,35604.0
807,11106,10,Queens,Astoria,New York,37094.0
808,96792,10,Honolulu,Waianae,Hawaii,50440.0
809,90638,10,Los Angeles,La Mirada,California,48704.0
810,11223,10,Kings,Brooklyn,New York,80500.0
811,90265,10,Los Angeles,Malibu,California,18028.0
812,43026,10,Franklin,Hilliard,Ohio,63456.0
813,19145,10,Philadelphia,Philadelphia,Pennsylvania,44508.0
814,7601,10,Bergen,Hackensack,New Jersey,44266.0
815,20147,10,Loudoun,Ashburn,Virginia,63903.0
816,92376,10,San Bernardino,Rialto,California,86719.0
817,37129,10,Rutherford,Murfreesboro,Tennessee,60516.0
818,55103,10,Ramsey,Saint Paul,Minnesota,13483.0
819,132,10,0,0,0,0.0
820,60608,10,Cook,Chicago,Illinois,80011.0
821,98034,10,King,Kirkland,Washington,45009.0
822,92260,10,Riverside,Palm Desert,California,34553.0
823,37211,10,Davidson,Nashville,Tennessee,75199.0
824,85251,10,Maricopa,Scottsdale,Arizona,41592.0
825,37421,10,Hamilton,Chattanooga,Tennessee,53050.0
826,77546,10,Galveston,Friendswood,Texas,53148.0
827,97224,10,Washington,Portland,Oregon,35949.0
828,28273,10,Mecklenburg,Charlotte,North Carolina,45179.0
829,750,10,0,0,0,0.0
830,92107,10,San Diego,San Diego,California,31667.0
831,98125,10,King,Seattle,Washington,44030.0
832,115,10,0,0,0,0.0
833,98146,10,King,Seattle,Washington,27622.0
834,92071,10,San Diego,Santee,California,57207.0
835,55124,10,Dakota,Saint Paul,Minnesota,53781.0
836,60605,10,Cook,Chicago,Illinois,30950.0
837,55378,10,Scott,Savage,Minnesota,31829.0
838,121,10,0,0,0,0.0
839,200,10,0,0,0,0.0
840,0,10,0,0,0,0.0
841,7643,10,Bergen,Little Ferry,New Jersey,10761.0
842,92663,10,Orange,Newport Beach,California,22721.0
843,7624,10,Bergen,Closter,New Jersey,8551.0
844,92653,10,Orange,Laguna Hills,California,30080.0
845,20003,10,District of Columbia,Washington,District of Columbia,33584.0
846,92627,10,Orange,Costa Mesa,California,62437.0
847,27403,10,Guilford,Greensboro,North Carolina,23410.0
848,60014,10,McHenry,Crystal Lake,Illinois,46866.0
849,10004,10,New York,New York,New York,3310.0
850,604,10,0,0,0,0.0
851,12206,10,Albany,Albany,New York,15537.0
852,605,10,0,0,0,0.0
853,55445,10,Hennepin,Minneapolis,Minnesota,13030.0
854,55443,10,Hennepin,Minneapolis,Minnesota,30978.0
855,55425,10,Hennepin,Minneapolis,Minnesota,10260.0
856,55423,10,Hennepin,Minneapolis,Minnesota,36311.0
857,35806,10,Madison,Huntsville,Alabama,24132.0
858,55404,10,Hennepin,Minneapolis,Minnesota,28586.0
859,19146,10,Philadelphia,Philadelphia,Pennsylvania,40635.0
860,79912,10,El Paso,El Paso,Texas,79861.0
861,75071,10,Collin,Mckinney,Texas,62769.0
862,98198,10,King,Seattle,Washington,38699.0
863,731,10,Ponce,Ponce,Puerto Rico,12108.0
